"","Curved","WidthOfHallway","Obstacles","WidthOfExits","NumberOfExits","average_casualty_rate","average_casualties","total_cases","Straight"
"74",0,6,"No Obstacles",1,3,0.225101588976,27.652,250,"Straight"
"75",1,6,"No Obstacles",3,3,0.225841265988,27.604,250,"Curved"
"76",1,4,"No Obstacles",3,3,0.227603367856,28.644,250,"Curved"
"77",0,4,"No Obstacles",1,3,0.228588227032,28.764,250,"Straight"
"78",0,2,"No Obstacles",1,3,0.233224591356,29.496,250,"Straight"
"79",1,6,"No Obstacles",2,3,0.233236299716,28.58,250,"Curved"
"80",1,6,"Obstacles",3,2,0.237349395064,29.496,250,"Curved"
"81",1,2,"No Obstacles",3,2,0.238627011184,29.74,250,"Curved"
"82",0,6,"Obstacles",1,2,0.239746354996,30.252,250,"Straight"
"83",1,4,"Obstacles",2,2,0.240627299008,30.228,250,"Curved"
"84",0,6,"Obstacles",3,2,0.242007232396,29.728,250,"Straight"
"85",1,2,"No Obstacles",2,2,0.24282334304,30.488,250,"Curved"
"86",0,2,"No Obstacles",3,3,0.243243824392,30.06,250,"Straight"
"87",0,4,"No Obstacles",2,3,0.243593976056,29.808,250,"Straight"
"88",0,4,"Obstacles",1,2,0.246346548676,30.84,250,"Straight"
"89",0,6,"No Obstacles",2,2,0.246599072056,30.504,250,"Straight"
"90",1,6,"Obstacles",1,2,0.24717080938,31.112,250,"Curved"
"91",1,4,"Obstacles",1,2,0.248699186752,31.144,250,"Curved"
"92",0,4,"Obstacles",3,2,0.249342496644,30.748,250,"Straight"
"93",0,2,"Obstacles",3,1,0.249686359536,31.748,250,"Straight"
"94",1,4,"Obstacles",3,2,0.250413460244,31.456,250,"Curved"
"95",1,6,"No Obstacles",1,3,0.252181450656,32.08,250,"Curved"
"96",1,2,"No Obstacles",1,2,0.252661821264,31.816,250,"Curved"
"97",0,4,"No Obstacles",3,2,0.252896361204,31.592,250,"Straight"
"98",0,6,"Obstacles",2,2,0.253380760108,31.7,250,"Straight"
"99",0,4,"No Obstacles",1,2,0.253509153748,31.88,250,"Straight"
"100",0,4,"Obstacles",2,2,0.255047675032,31.356,250,"Straight"
"101",0,4,"No Obstacles",2,2,0.25629010234,31.432,250,"Straight"
"102",0,2,"Obstacles",1,1,0.25724839406,31.776,250,"Straight"
"103",0,6,"No Obstacles",1,2,0.259020419516,31.784,250,"Straight"
"104",0,6,"No Obstacles",3,2,0.260166695208,31.896,250,"Straight"
"105",1,4,"No Obstacles",3,2,0.261116492092,32.844,250,"Curved"
"106",1,4,"No Obstacles",2,2,0.262758376956,32.736,250,"Curved"
"107",1,6,"Obstacles",2,1,0.265980210304,32.94,250,"Curved"
"108",0,2,"No Obstacles",1,2,0.266087036372,33.692,250,"Straight"
"109",0,2,"No Obstacles",3,2,0.268148086188,33.268,250,"Straight"
"110",1,4,"Obstacles",1,1,0.270867853892,33.792,250,"Curved"
"111",1,6,"No Obstacles",2,2,0.271339504172,33.392,250,"Curved"
"112",1,6,"Obstacles",3,1,0.275179278152,34.208,250,"Curved"
"113",1,6,"No Obstacles",3,2,0.275516514892,33.556,250,"Curved"
"114",1,2,"No Obstacles",1,1,0.27561563072,34.68,250,"Curved"
"115",0,6,"Obstacles",2,1,0.275816470524,34.432,250,"Straight"
"116",0,6,"Obstacles",3,1,0.2780829506,34.216,250,"Straight"
"117",1,4,"No Obstacles",1,2,0.278878664512,34.972,250,"Curved"
"118",1,6,"No Obstacles",1,2,0.280088244568,35.488,250,"Curved"
"119",0,2,"Obstacles",2,1,0.280090848992,34.832,250,"Straight"
"120",0,2,"No Obstacles",2,2,0.280468697756,34.748,250,"Straight"
"121",1,6,"Obstacles",1,1,0.282656676448,35.58,250,"Curved"
"122",0,4,"Obstacles",1,1,0.287590675784,36.124,250,"Straight"
"123",0,6,"No Obstacles",1,1,0.2917766895,35.836,250,"Straight"
"124",1,4,"Obstacles",2,1,0.292338040212,36.712,250,"Curved"
"125",0,4,"No Obstacles",1,1,0.29259761172,36.832,250,"Straight"
"126",1,4,"Obstacles",3,1,0.292775625992,36.732,250,"Curved"
"127",1,2,"No Obstacles",2,1,0.293926288768,36.876,250,"Curved"
"128",0,4,"No Obstacles",3,1,0.295962645496,36.884,250,"Straight"
"129",1,2,"No Obstacles",3,1,0.297251083288,37.004,250,"Curved"
"130",0,6,"Obstacles",1,1,0.299323569148,37.452,250,"Straight"
"131",1,4,"No Obstacles",2,1,0.301122346656,37.428,250,"Curved"
"132",1,4,"No Obstacles",1,1,0.303700969572,38.088,250,"Curved"
"133",0,4,"No Obstacles",2,1,0.30441991006,37.332,250,"Straight"
"134",0,6,"No Obstacles",2,1,0.305764733144,37.684,250,"Straight"
"135",1,4,"No Obstacles",3,1,0.308030457192,38.796,250,"Curved"
"136",1,6,"No Obstacles",1,1,0.308821268792,39.056,250,"Curved"
"137",0,4,"Obstacles",3,1,0.309762608528,38.148,250,"Straight"
"138",1,6,"No Obstacles",3,1,0.312244908544,38.26,250,"Curved"
"139",1,6,"No Obstacles",2,1,0.312487423916,38.368,250,"Curved"
"140",0,4,"Obstacles",2,1,0.31412551318,38.472,250,"Straight"
"141",0,2,"No Obstacles",2,1,0.317431800256,39.196,250,"Straight"
"142",0,6,"No Obstacles",3,1,0.323459949264,39.66,250,"Straight"
"143",0,2,"No Obstacles",3,1,0.328179261996,40.472,250,"Straight"
"144",0,2,"No Obstacles",1,1,0.330531248512,41.828,250,"Straight"
