Total_Students,Casualties,Casualty_Rate,Straight ,NumberOfExits,WidthOfExits,Obstacles,WidthOfHallway
131,5,0.038167939,1,2,1,1,4
125,7,0.056,1,2,1,1,4
118,15,0.127118644,1,2,1,1,4
126,25,0.198412698,1,2,1,1,4
130,45,0.346153846,1,2,1,1,4
125,25,0.2,1,2,1,1,4
126,32,0.253968254,1,2,1,1,4
122,15,0.12295082,1,2,1,1,4
124,2,0.016129032,1,2,1,1,4
125,36,0.288,1,2,1,1,4
128,24,0.1875,1,2,1,1,4
128,10,0.078125,1,2,1,1,4
126,38,0.301587302,1,2,1,1,4
124,49,0.39516129,1,2,1,1,4
132,23,0.174242424,1,2,1,1,4
120,40,0.333333333,1,2,1,1,4
122,23,0.18852459,1,2,1,1,4
122,38,0.31147541,1,2,1,1,4
129,27,0.209302326,1,2,1,1,4
122,36,0.295081967,1,2,1,1,4
125,43,0.344,1,2,1,1,4
123,29,0.235772358,1,2,1,1,4
124,43,0.346774194,1,2,1,1,4
125,21,0.168,1,2,1,1,4
123,24,0.195121951,1,2,1,1,4
126,33,0.261904762,1,2,1,1,4
123,38,0.308943089,1,2,1,1,4
129,61,0.472868217,1,2,1,1,4
124,30,0.241935484,1,2,1,1,4
129,8,0.062015504,1,2,1,1,4
126,34,0.26984127,1,2,1,1,4
124,54,0.435483871,1,2,1,1,4
127,47,0.37007874,1,2,1,1,4
125,51,0.408,1,2,1,1,4
131,2,0.015267176,1,2,1,1,4
132,42,0.318181818,1,2,1,1,4
125,53,0.424,1,2,1,1,4
123,37,0.300813008,1,2,1,1,4
127,36,0.283464567,1,2,1,1,4
129,25,0.19379845,1,2,1,1,4
121,38,0.314049587,1,2,1,1,4
127,36,0.283464567,1,2,1,1,4
130,25,0.192307692,1,2,1,1,4
122,33,0.270491803,1,2,1,1,4
125,13,0.104,1,2,1,1,4
129,43,0.333333333,1,2,1,1,4
129,29,0.224806202,1,2,1,1,4
124,32,0.258064516,1,2,1,1,4
128,4,0.03125,1,2,1,1,4
125,36,0.288,1,2,1,1,4
128,28,0.21875,1,2,1,1,4
123,24,0.195121951,1,2,1,1,4
128,28,0.21875,1,2,1,1,4
