Total_Students,Casualties,Casualty_Rate,Straight ,NumberOfExits,WidthOfExits,Obstacles,WidthOfHallway
125,18,0.144,0,2,3,1,2
128,18,0.140625,0,2,3,1,2
126,9,0.071428571,0,2,3,1,2
130,49,0.376923077,0,2,3,1,2
126,16,0.126984127,0,2,3,1,2
125,35,0.28,0,2,3,1,2
120,19,0.158333333,0,2,3,1,2
129,6,0.046511628,0,2,3,1,2
125,23,0.184,0,2,3,1,2
129,42,0.325581395,0,2,3,1,2
127,38,0.299212598,0,2,3,1,2
124,12,0.096774194,0,2,3,1,2
130,29,0.223076923,0,2,3,1,2
129,24,0.186046512,0,2,3,1,2
125,15,0.12,0,2,3,1,2
127,21,0.165354331,0,2,3,1,2
129,31,0.240310078,0,2,3,1,2
124,17,0.137096774,0,2,3,1,2
134,22,0.164179104,0,2,3,1,2
129,15,0.11627907,0,2,3,1,2
126,15,0.119047619,0,2,3,1,2
126,20,0.158730159,0,2,3,1,2
129,22,0.170542636,0,2,3,1,2
128,28,0.21875,0,2,3,1,2
130,21,0.161538462,0,2,3,1,2
124,19,0.153225806,0,2,3,1,2
122,8,0.06557377,0,2,3,1,2
131,21,0.160305344,0,2,3,1,2
122,23,0.18852459,0,2,3,1,2
130,48,0.369230769,0,2,3,1,2
127,33,0.25984252,0,2,3,1,2
129,20,0.15503876,0,2,3,1,2
127,3,0.023622047,0,2,3,1,2
127,0,0,0,2,3,1,2
126,17,0.134920635,0,2,3,1,2
124,9,0.072580645,0,2,3,1,2
126,13,0.103174603,0,2,3,1,2
129,26,0.201550388,0,2,3,1,2
129,23,0.178294574,0,2,3,1,2
128,12,0.09375,0,2,3,1,2
125,25,0.2,0,2,3,1,2
124,10,0.080645161,0,2,3,1,2
130,16,0.123076923,0,2,3,1,2
123,22,0.178861789,0,2,3,1,2
127,12,0.094488189,0,2,3,1,2
129,24,0.186046512,0,2,3,1,2
126,0,0,0,2,3,1,2
130,19,0.146153846,0,2,3,1,2
130,13,0.1,0,2,3,1,2
127,18,0.141732283,0,2,3,1,2
123,21,0.170731707,0,2,3,1,2
125,16,0.128,0,2,3,1,2
130,22,0.169230769,0,2,3,1,2
122,14,0.114754098,0,2,3,1,2
128,21,0.1640625,0,2,3,1,2
125,26,0.208,0,2,3,1,2
128,13,0.1015625,0,2,3,1,2
128,17,0.1328125,0,2,3,1,2
126,15,0.119047619,0,2,3,1,2
125,15,0.12,0,2,3,1,2
127,27,0.212598425,0,2,3,1,2
126,24,0.19047619,0,2,3,1,2
130,25,0.192307692,0,2,3,1,2
130,24,0.184615385,0,2,3,1,2
122,14,0.114754098,0,2,3,1,2
128,25,0.1953125,0,2,3,1,2
130,50,0.384615385,0,2,3,1,2
125,4,0.032,0,2,3,1,2
130,43,0.330769231,0,2,3,1,2
125,20,0.16,0,2,3,1,2
127,31,0.244094488,0,2,3,1,2
125,17,0.136,0,2,3,1,2
125,21,0.168,0,2,3,1,2
130,20,0.153846154,0,2,3,1,2
129,33,0.255813953,0,2,3,1,2
130,19,0.146153846,0,2,3,1,2
125,24,0.192,0,2,3,1,2
128,31,0.2421875,0,2,3,1,2
124,19,0.153225806,0,2,3,1,2
129,16,0.124031008,0,2,3,1,2
131,22,0.167938931,0,2,3,1,2
124,16,0.129032258,0,2,3,1,2
129,30,0.23255814,0,2,3,1,2
123,30,0.243902439,0,2,3,1,2
126,22,0.174603175,0,2,3,1,2
130,16,0.123076923,0,2,3,1,2
126,21,0.166666667,0,2,3,1,2
128,18,0.140625,0,2,3,1,2
125,18,0.144,0,2,3,1,2
119,22,0.18487395,0,2,3,1,2
125,26,0.208,0,2,3,1,2
128,25,0.1953125,0,2,3,1,2
126,16,0.126984127,0,2,3,1,2
127,36,0.283464567,0,2,3,1,2
127,12,0.094488189,0,2,3,1,2
129,20,0.15503876,0,2,3,1,2
126,20,0.158730159,0,2,3,1,2
125,29,0.232,0,2,3,1,2
130,32,0.246153846,0,2,3,1,2
133,40,0.30075188,0,2,3,1,2
125,14,0.112,0,2,3,1,2
122,17,0.139344262,0,2,3,1,2
122,20,0.163934426,0,2,3,1,2
122,13,0.106557377,0,2,3,1,2
127,25,0.196850394,0,2,3,1,2
130,29,0.223076923,0,2,3,1,2
125,16,0.128,0,2,3,1,2
123,25,0.203252033,0,2,3,1,2
130,19,0.146153846,0,2,3,1,2
127,17,0.133858268,0,2,3,1,2
131,20,0.152671756,0,2,3,1,2
123,19,0.154471545,0,2,3,1,2
128,14,0.109375,0,2,3,1,2
129,32,0.248062016,0,2,3,1,2
126,46,0.365079365,0,2,3,1,2
125,46,0.368,0,2,3,1,2
130,27,0.207692308,0,2,3,1,2
131,9,0.06870229,0,2,3,1,2
128,22,0.171875,0,2,3,1,2
125,25,0.2,0,2,3,1,2
131,24,0.183206107,0,2,3,1,2
123,26,0.211382114,0,2,3,1,2
121,17,0.140495868,0,2,3,1,2
129,22,0.170542636,0,2,3,1,2
125,22,0.176,0,2,3,1,2
128,24,0.1875,0,2,3,1,2
126,12,0.095238095,0,2,3,1,2
124,31,0.25,0,2,3,1,2
131,24,0.183206107,0,2,3,1,2
121,8,0.066115702,0,2,3,1,2
122,11,0.090163934,0,2,3,1,2
124,20,0.161290323,0,2,3,1,2
123,14,0.113821138,0,2,3,1,2
123,20,0.162601626,0,2,3,1,2
130,16,0.123076923,0,2,3,1,2
124,25,0.201612903,0,2,3,1,2
132,16,0.121212121,0,2,3,1,2
131,30,0.229007634,0,2,3,1,2
127,30,0.236220472,0,2,3,1,2
125,24,0.192,0,2,3,1,2
125,21,0.168,0,2,3,1,2
129,41,0.317829457,0,2,3,1,2
123,20,0.162601626,0,2,3,1,2
123,13,0.105691057,0,2,3,1,2
130,17,0.130769231,0,2,3,1,2
134,13,0.097014925,0,2,3,1,2
130,29,0.223076923,0,2,3,1,2
126,16,0.126984127,0,2,3,1,2
126,29,0.23015873,0,2,3,1,2
119,15,0.12605042,0,2,3,1,2
128,36,0.28125,0,2,3,1,2
123,15,0.12195122,0,2,3,1,2
128,21,0.1640625,0,2,3,1,2
128,25,0.1953125,0,2,3,1,2
130,10,0.076923077,0,2,3,1,2
121,21,0.173553719,0,2,3,1,2
126,24,0.19047619,0,2,3,1,2
123,21,0.170731707,0,2,3,1,2
131,19,0.145038168,0,2,3,1,2
128,4,0.03125,0,2,3,1,2
125,30,0.24,0,2,3,1,2
121,28,0.231404959,0,2,3,1,2
125,39,0.312,0,2,3,1,2
126,51,0.404761905,0,2,3,1,2
125,24,0.192,0,2,3,1,2
127,26,0.204724409,0,2,3,1,2
122,2,0.016393443,0,2,3,1,2
126,4,0.031746032,0,2,3,1,2
127,15,0.118110236,0,2,3,1,2
125,25,0.2,0,2,3,1,2
127,23,0.181102362,0,2,3,1,2
126,20,0.158730159,0,2,3,1,2
126,22,0.174603175,0,2,3,1,2
120,27,0.225,0,2,3,1,2
122,19,0.155737705,0,2,3,1,2
127,23,0.181102362,0,2,3,1,2
126,11,0.087301587,0,2,3,1,2
126,24,0.19047619,0,2,3,1,2
129,22,0.170542636,0,2,3,1,2
123,23,0.18699187,0,2,3,1,2
129,25,0.19379845,0,2,3,1,2
123,16,0.130081301,0,2,3,1,2
123,12,0.097560976,0,2,3,1,2
126,2,0.015873016,0,2,3,1,2
123,31,0.25203252,0,2,3,1,2
126,15,0.119047619,0,2,3,1,2
131,26,0.198473282,0,2,3,1,2
121,30,0.247933884,0,2,3,1,2
123,11,0.089430894,0,2,3,1,2
124,14,0.112903226,0,2,3,1,2
129,20,0.15503876,0,2,3,1,2
126,19,0.150793651,0,2,3,1,2
127,21,0.165354331,0,2,3,1,2
131,22,0.167938931,0,2,3,1,2
126,12,0.095238095,0,2,3,1,2
124,20,0.161290323,0,2,3,1,2
126,21,0.166666667,0,2,3,1,2
125,23,0.184,0,2,3,1,2
123,9,0.073170732,0,2,3,1,2
125,26,0.208,0,2,3,1,2
123,22,0.178861789,0,2,3,1,2
126,23,0.182539683,0,2,3,1,2
130,24,0.184615385,0,2,3,1,2
119,7,0.058823529,0,2,3,1,2
129,13,0.100775194,0,2,3,1,2
125,16,0.128,0,2,3,1,2
128,2,0.015625,0,2,3,1,2
127,21,0.165354331,0,2,3,1,2
124,21,0.169354839,0,2,3,1,2
127,39,0.307086614,0,2,3,1,2
124,17,0.137096774,0,2,3,1,2
123,17,0.138211382,0,2,3,1,2
127,26,0.204724409,0,2,3,1,2
126,22,0.174603175,0,2,3,1,2
119,33,0.277310924,0,2,3,1,2
122,44,0.360655738,0,2,3,1,2
123,27,0.219512195,0,2,3,1,2
122,18,0.147540984,0,2,3,1,2
124,22,0.177419355,0,2,3,1,2
126,12,0.095238095,0,2,3,1,2
127,25,0.196850394,0,2,3,1,2
128,28,0.21875,0,2,3,1,2
129,33,0.255813953,0,2,3,1,2
126,15,0.119047619,0,2,3,1,2
126,17,0.134920635,0,2,3,1,2
126,19,0.150793651,0,2,3,1,2
123,13,0.105691057,0,2,3,1,2
124,23,0.185483871,0,2,3,1,2
123,27,0.219512195,0,2,3,1,2
120,17,0.141666667,0,2,3,1,2
129,26,0.201550388,0,2,3,1,2
120,14,0.116666667,0,2,3,1,2
129,35,0.271317829,0,2,3,1,2
120,11,0.091666667,0,2,3,1,2
128,21,0.1640625,0,2,3,1,2
130,24,0.184615385,0,2,3,1,2
126,20,0.158730159,0,2,3,1,2
125,15,0.12,0,2,3,1,2
123,23,0.18699187,0,2,3,1,2
126,15,0.119047619,0,2,3,1,2
125,17,0.136,0,2,3,1,2
127,27,0.212598425,0,2,3,1,2
132,19,0.143939394,0,2,3,1,2
126,11,0.087301587,0,2,3,1,2
128,28,0.21875,0,2,3,1,2
130,0,0,0,2,3,1,2
129,21,0.162790698,0,2,3,1,2
131,26,0.198473282,0,2,3,1,2
129,23,0.178294574,0,2,3,1,2
130,20,0.153846154,0,2,3,1,2
