Total_Students,Casualties,Casualty_Rate,Straight ,NumberOfExits,WidthOfExits,Obstacles,WidthOfHallway
125,18,0.144,1,1,2,1,6
125,44,0.352,1,1,2,1,6
126,50,0.396825397,1,1,2,1,6
122,50,0.409836066,1,1,2,1,6
127,32,0.251968504,1,1,2,1,6
128,26,0.203125,1,1,2,1,6
124,52,0.419354839,1,1,2,1,6
133,50,0.37593985,1,1,2,1,6
126,21,0.166666667,1,1,2,1,6
128,20,0.15625,1,1,2,1,6
131,30,0.229007634,1,1,2,1,6
126,23,0.182539683,1,1,2,1,6
120,21,0.175,1,1,2,1,6
126,21,0.166666667,1,1,2,1,6
123,37,0.300813008,1,1,2,1,6
123,29,0.235772358,1,1,2,1,6
127,34,0.267716535,1,1,2,1,6
128,42,0.328125,1,1,2,1,6
124,48,0.387096774,1,1,2,1,6
125,30,0.24,1,1,2,1,6
125,26,0.208,1,1,2,1,6
129,42,0.325581395,1,1,2,1,6
125,12,0.096,1,1,2,1,6
125,25,0.2,1,1,2,1,6
124,39,0.314516129,1,1,2,1,6
126,45,0.357142857,1,1,2,1,6
130,39,0.3,1,1,2,1,6
121,58,0.479338843,1,1,2,1,6
124,40,0.322580645,1,1,2,1,6
125,31,0.248,1,1,2,1,6
125,36,0.288,1,1,2,1,6
124,46,0.370967742,1,1,2,1,6
120,22,0.183333333,1,1,2,1,6
129,39,0.302325581,1,1,2,1,6
122,49,0.401639344,1,1,2,1,6
121,28,0.231404959,1,1,2,1,6
115,19,0.165217391,1,1,2,1,6
122,24,0.196721311,1,1,2,1,6
127,33,0.25984252,1,1,2,1,6
125,33,0.264,1,1,2,1,6
128,37,0.2890625,1,1,2,1,6
122,31,0.254098361,1,1,2,1,6
122,24,0.196721311,1,1,2,1,6
125,32,0.256,1,1,2,1,6
123,35,0.284552846,1,1,2,1,6
120,28,0.233333333,1,1,2,1,6
121,36,0.297520661,1,1,2,1,6
123,22,0.178861789,1,1,2,1,6
121,52,0.429752066,1,1,2,1,6
128,15,0.1171875,1,1,2,1,6
