Total_Students,Casualties,Casualty_Rate,Straight ,NumberOfExits,WidthOfExits,Obstacles,WidthOfHallway
127,3,0.023622047,1,1,3,1,2
128,48,0.375,1,1,3,1,2
123,0,0,1,1,3,1,2
118,28,0.237288136,1,1,3,1,2
127,40,0.31496063,1,1,3,1,2
130,38,0.292307692,1,1,3,1,2
129,25,0.19379845,1,1,3,1,2
119,14,0.117647059,1,1,3,1,2
137,69,0.503649635,1,1,3,1,2
124,2,0.016129032,1,1,3,1,2
126,37,0.293650794,1,1,3,1,2
130,40,0.307692308,1,1,3,1,2
130,4,0.030769231,1,1,3,1,2
128,58,0.453125,1,1,3,1,2
128,26,0.203125,1,1,3,1,2
127,42,0.330708661,1,1,3,1,2
125,45,0.36,1,1,3,1,2
129,30,0.23255814,1,1,3,1,2
121,13,0.107438017,1,1,3,1,2
133,21,0.157894737,1,1,3,1,2
128,48,0.375,1,1,3,1,2
129,19,0.147286822,1,1,3,1,2
130,53,0.407692308,1,1,3,1,2
130,29,0.223076923,1,1,3,1,2
131,61,0.465648855,1,1,3,1,2
125,6,0.048,1,1,3,1,2
122,31,0.254098361,1,1,3,1,2
124,0,0,1,1,3,1,2
128,3,0.0234375,1,1,3,1,2
123,4,0.032520325,1,1,3,1,2
127,0,0,1,1,3,1,2
128,2,0.015625,1,1,3,1,2
130,0,0,1,1,3,1,2
130,43,0.330769231,1,1,3,1,2
127,26,0.204724409,1,1,3,1,2
124,28,0.225806452,1,1,3,1,2
124,42,0.338709677,1,1,3,1,2
129,50,0.387596899,1,1,3,1,2
130,37,0.284615385,1,1,3,1,2
131,30,0.229007634,1,1,3,1,2
124,20,0.161290323,1,1,3,1,2
125,2,0.016,1,1,3,1,2
126,30,0.238095238,1,1,3,1,2
123,20,0.162601626,1,1,3,1,2
132,52,0.393939394,1,1,3,1,2
126,10,0.079365079,1,1,3,1,2
129,46,0.356589147,1,1,3,1,2
126,39,0.30952381,1,1,3,1,2
129,15,0.11627907,1,1,3,1,2
124,47,0.379032258,1,1,3,1,2
124,29,0.233870968,1,1,3,1,2
122,36,0.295081967,1,1,3,1,2
126,52,0.412698413,1,1,3,1,2
123,25,0.203252033,1,1,3,1,2
128,36,0.28125,1,1,3,1,2
129,30,0.23255814,1,1,3,1,2
126,18,0.142857143,1,1,3,1,2
121,45,0.371900826,1,1,3,1,2
128,45,0.3515625,1,1,3,1,2
123,36,0.292682927,1,1,3,1,2
125,28,0.224,1,1,3,1,2
127,45,0.354330709,1,1,3,1,2
133,26,0.195488722,1,1,3,1,2
130,60,0.461538462,1,1,3,1,2
128,30,0.234375,1,1,3,1,2
127,30,0.236220472,1,1,3,1,2
132,24,0.181818182,1,1,3,1,2
125,41,0.328,1,1,3,1,2
133,45,0.338345865,1,1,3,1,2
125,40,0.32,1,1,3,1,2
128,27,0.2109375,1,1,3,1,2
128,18,0.140625,1,1,3,1,2
125,55,0.44,1,1,3,1,2
126,24,0.19047619,1,1,3,1,2
123,22,0.178861789,1,1,3,1,2
133,3,0.022556391,1,1,3,1,2
128,85,0.6640625,1,1,3,1,2
130,41,0.315384615,1,1,3,1,2
125,39,0.312,1,1,3,1,2
131,43,0.328244275,1,1,3,1,2
128,2,0.015625,1,1,3,1,2
122,43,0.352459016,1,1,3,1,2
124,44,0.35483871,1,1,3,1,2
122,23,0.18852459,1,1,3,1,2
133,42,0.315789474,1,1,3,1,2
125,43,0.344,1,1,3,1,2
