Total_Students,Casualties,Casualty_Rate,Straight ,NumberOfExits,WidthOfExits,Obstacles,WidthOfHallway
125,16,0.128,1,4,1,1,4
126,14,0.111111111,1,4,1,1,4
125,20,0.16,1,4,1,1,4
121,13,0.107438017,1,4,1,1,4
123,10,0.081300813,1,4,1,1,4
125,17,0.136,1,4,1,1,4
119,19,0.159663866,1,4,1,1,4
129,11,0.085271318,1,4,1,1,4
127,3,0.023622047,1,4,1,1,4
125,10,0.08,1,4,1,1,4
126,12,0.095238095,1,4,1,1,4
127,20,0.157480315,1,4,1,1,4
125,14,0.112,1,4,1,1,4
126,13,0.103174603,1,4,1,1,4
123,27,0.219512195,1,4,1,1,4
129,17,0.131782946,1,4,1,1,4
120,23,0.191666667,1,4,1,1,4
125,15,0.12,1,4,1,1,4
125,12,0.096,1,4,1,1,4
124,10,0.080645161,1,4,1,1,4
126,25,0.198412698,1,4,1,1,4
123,14,0.113821138,1,4,1,1,4
126,14,0.111111111,1,4,1,1,4
128,18,0.140625,1,4,1,1,4
127,16,0.125984252,1,4,1,1,4
128,19,0.1484375,1,4,1,1,4
124,11,0.088709677,1,4,1,1,4
127,12,0.094488189,1,4,1,1,4
124,23,0.185483871,1,4,1,1,4
121,9,0.074380165,1,4,1,1,4
120,21,0.175,1,4,1,1,4
124,15,0.120967742,1,4,1,1,4
124,23,0.185483871,1,4,1,1,4
122,32,0.262295082,1,4,1,1,4
123,12,0.097560976,1,4,1,1,4
127,19,0.149606299,1,4,1,1,4
125,10,0.08,1,4,1,1,4
126,38,0.301587302,1,4,1,1,4
123,15,0.12195122,1,4,1,1,4
125,14,0.112,1,4,1,1,4
125,23,0.184,1,4,1,1,4
124,15,0.120967742,1,4,1,1,4
128,22,0.171875,1,4,1,1,4
128,19,0.1484375,1,4,1,1,4
120,17,0.141666667,1,4,1,1,4
118,13,0.110169492,1,4,1,1,4
131,17,0.129770992,1,4,1,1,4
121,17,0.140495868,1,4,1,1,4
125,8,0.064,1,4,1,1,4
123,14,0.113821138,1,4,1,1,4
126,18,0.142857143,1,4,1,1,4
127,22,0.173228346,1,4,1,1,4
130,17,0.130769231,1,4,1,1,4
120,16,0.133333333,1,4,1,1,4
126,10,0.079365079,1,4,1,1,4
122,12,0.098360656,1,4,1,1,4
126,17,0.134920635,1,4,1,1,4
124,12,0.096774194,1,4,1,1,4
123,11,0.089430894,1,4,1,1,4
126,18,0.142857143,1,4,1,1,4
124,19,0.153225806,1,4,1,1,4
123,15,0.12195122,1,4,1,1,4
128,4,0.03125,1,4,1,1,4
121,12,0.099173554,1,4,1,1,4
126,7,0.055555556,1,4,1,1,4
127,10,0.078740157,1,4,1,1,4
126,14,0.111111111,1,4,1,1,4
122,11,0.090163934,1,4,1,1,4
125,14,0.112,1,4,1,1,4
124,9,0.072580645,1,4,1,1,4
120,13,0.108333333,1,4,1,1,4
120,13,0.108333333,1,4,1,1,4
126,10,0.079365079,1,4,1,1,4
129,17,0.131782946,1,4,1,1,4
123,8,0.06504065,1,4,1,1,4
120,21,0.175,1,4,1,1,4
122,18,0.147540984,1,4,1,1,4
126,16,0.126984127,1,4,1,1,4
126,15,0.119047619,1,4,1,1,4
128,9,0.0703125,1,4,1,1,4
123,20,0.162601626,1,4,1,1,4
120,20,0.166666667,1,4,1,1,4
122,5,0.040983607,1,4,1,1,4
126,10,0.079365079,1,4,1,1,4
119,10,0.084033613,1,4,1,1,4
126,16,0.126984127,1,4,1,1,4
128,15,0.1171875,1,4,1,1,4
126,14,0.111111111,1,4,1,1,4
127,27,0.212598425,1,4,1,1,4
126,27,0.214285714,1,4,1,1,4
122,15,0.12295082,1,4,1,1,4
128,20,0.15625,1,4,1,1,4
124,16,0.129032258,1,4,1,1,4
124,16,0.129032258,1,4,1,1,4
120,13,0.108333333,1,4,1,1,4
122,21,0.172131148,1,4,1,1,4
126,16,0.126984127,1,4,1,1,4
120,0,0,1,4,1,1,4
126,21,0.166666667,1,4,1,1,4
122,13,0.106557377,1,4,1,1,4
124,12,0.096774194,1,4,1,1,4
117,10,0.085470085,1,4,1,1,4
121,17,0.140495868,1,4,1,1,4
125,15,0.12,1,4,1,1,4
125,14,0.112,1,4,1,1,4
128,16,0.125,1,4,1,1,4
128,7,0.0546875,1,4,1,1,4
126,15,0.119047619,1,4,1,1,4
127,14,0.11023622,1,4,1,1,4
127,15,0.118110236,1,4,1,1,4
125,17,0.136,1,4,1,1,4
127,24,0.188976378,1,4,1,1,4
127,14,0.11023622,1,4,1,1,4
124,16,0.129032258,1,4,1,1,4
123,13,0.105691057,1,4,1,1,4
126,7,0.055555556,1,4,1,1,4
124,15,0.120967742,1,4,1,1,4
125,14,0.112,1,4,1,1,4
133,18,0.135338346,1,4,1,1,4
129,18,0.139534884,1,4,1,1,4
127,11,0.086614173,1,4,1,1,4
124,6,0.048387097,1,4,1,1,4
122,7,0.057377049,1,4,1,1,4
124,21,0.169354839,1,4,1,1,4
129,31,0.240310078,1,4,1,1,4
129,11,0.085271318,1,4,1,1,4
126,6,0.047619048,1,4,1,1,4
125,10,0.08,1,4,1,1,4
123,12,0.097560976,1,4,1,1,4
123,15,0.12195122,1,4,1,1,4
