Total_Students,Casualties,Casualty_Rate,Straight ,NumberOfExits,WidthOfExits,Obstacles,WidthOfHallway
124,13,0.10483871,1,4,1,1,2
116,14,0.120689655,1,4,1,1,2
125,14,0.112,1,4,1,1,2
131,19,0.145038168,1,4,1,1,2
120,28,0.233333333,1,4,1,1,2
124,18,0.14516129,1,4,1,1,2
125,27,0.216,1,4,1,1,2
119,22,0.18487395,1,4,1,1,2
126,17,0.134920635,1,4,1,1,2
121,12,0.099173554,1,4,1,1,2
125,15,0.12,1,4,1,1,2
124,10,0.080645161,1,4,1,1,2
121,17,0.140495868,1,4,1,1,2
123,16,0.130081301,1,4,1,1,2
124,14,0.112903226,1,4,1,1,2
120,24,0.2,1,4,1,1,2
127,24,0.188976378,1,4,1,1,2
124,12,0.096774194,1,4,1,1,2
126,3,0.023809524,1,4,1,1,2
122,10,0.081967213,1,4,1,1,2
124,13,0.10483871,1,4,1,1,2
122,19,0.155737705,1,4,1,1,2
122,24,0.196721311,1,4,1,1,2
121,0,0,1,4,1,1,2
120,21,0.175,1,4,1,1,2
123,15,0.12195122,1,4,1,1,2
127,16,0.125984252,1,4,1,1,2
125,10,0.08,1,4,1,1,2
123,16,0.130081301,1,4,1,1,2
126,7,0.055555556,1,4,1,1,2
125,11,0.088,1,4,1,1,2
125,25,0.2,1,4,1,1,2
123,0,0,1,4,1,1,2
121,11,0.090909091,1,4,1,1,2
125,12,0.096,1,4,1,1,2
131,22,0.167938931,1,4,1,1,2
122,22,0.180327869,1,4,1,1,2
126,19,0.150793651,1,4,1,1,2
123,14,0.113821138,1,4,1,1,2
123,15,0.12195122,1,4,1,1,2
119,31,0.260504202,1,4,1,1,2
120,22,0.183333333,1,4,1,1,2
127,2,0.015748031,1,4,1,1,2
120,20,0.166666667,1,4,1,1,2
126,22,0.174603175,1,4,1,1,2
126,17,0.134920635,1,4,1,1,2
125,4,0.032,1,4,1,1,2
126,17,0.134920635,1,4,1,1,2
121,8,0.066115702,1,4,1,1,2
127,11,0.086614173,1,4,1,1,2
119,26,0.218487395,1,4,1,1,2
126,8,0.063492063,1,4,1,1,2
125,20,0.16,1,4,1,1,2
121,16,0.132231405,1,4,1,1,2
124,18,0.14516129,1,4,1,1,2
119,10,0.084033613,1,4,1,1,2
120,11,0.091666667,1,4,1,1,2
127,22,0.173228346,1,4,1,1,2
125,2,0.016,1,4,1,1,2
122,18,0.147540984,1,4,1,1,2
122,7,0.057377049,1,4,1,1,2
123,19,0.154471545,1,4,1,1,2
129,3,0.023255814,1,4,1,1,2
122,11,0.090163934,1,4,1,1,2
116,21,0.181034483,1,4,1,1,2
126,12,0.095238095,1,4,1,1,2
119,16,0.134453782,1,4,1,1,2
124,13,0.10483871,1,4,1,1,2
122,14,0.114754098,1,4,1,1,2
123,16,0.130081301,1,4,1,1,2
123,15,0.12195122,1,4,1,1,2
125,11,0.088,1,4,1,1,2
126,10,0.079365079,1,4,1,1,2
125,14,0.112,1,4,1,1,2
125,16,0.128,1,4,1,1,2
131,20,0.152671756,1,4,1,1,2
125,17,0.136,1,4,1,1,2
128,30,0.234375,1,4,1,1,2
127,24,0.188976378,1,4,1,1,2
118,3,0.025423729,1,4,1,1,2
123,3,0.024390244,1,4,1,1,2
121,2,0.016528926,1,4,1,1,2
125,13,0.104,1,4,1,1,2
121,17,0.140495868,1,4,1,1,2
129,0,0,1,4,1,1,2
125,4,0.032,1,4,1,1,2
122,16,0.131147541,1,4,1,1,2
120,17,0.141666667,1,4,1,1,2
124,12,0.096774194,1,4,1,1,2
123,18,0.146341463,1,4,1,1,2
125,17,0.136,1,4,1,1,2
125,29,0.232,1,4,1,1,2
122,19,0.155737705,1,4,1,1,2
124,7,0.056451613,1,4,1,1,2
127,25,0.196850394,1,4,1,1,2
125,22,0.176,1,4,1,1,2
124,21,0.169354839,1,4,1,1,2
121,19,0.157024793,1,4,1,1,2
118,18,0.152542373,1,4,1,1,2
123,16,0.130081301,1,4,1,1,2
125,13,0.104,1,4,1,1,2
122,16,0.131147541,1,4,1,1,2
122,25,0.204918033,1,4,1,1,2
129,15,0.11627907,1,4,1,1,2
126,28,0.222222222,1,4,1,1,2
124,9,0.072580645,1,4,1,1,2
123,17,0.138211382,1,4,1,1,2
124,29,0.233870968,1,4,1,1,2
126,0,0,1,4,1,1,2
124,24,0.193548387,1,4,1,1,2
124,18,0.14516129,1,4,1,1,2
126,19,0.150793651,1,4,1,1,2
123,18,0.146341463,1,4,1,1,2
119,15,0.12605042,1,4,1,1,2
124,21,0.169354839,1,4,1,1,2
121,16,0.132231405,1,4,1,1,2
122,10,0.081967213,1,4,1,1,2
128,23,0.1796875,1,4,1,1,2
120,17,0.141666667,1,4,1,1,2
123,10,0.081300813,1,4,1,1,2
124,23,0.185483871,1,4,1,1,2
126,10,0.079365079,1,4,1,1,2
131,20,0.152671756,1,4,1,1,2
120,35,0.291666667,1,4,1,1,2
127,14,0.11023622,1,4,1,1,2
119,10,0.084033613,1,4,1,1,2
124,11,0.088709677,1,4,1,1,2
124,13,0.10483871,1,4,1,1,2
124,8,0.064516129,1,4,1,1,2
123,0,0,1,4,1,1,2
122,2,0.016393443,1,4,1,1,2
121,11,0.090909091,1,4,1,1,2
117,10,0.085470085,1,4,1,1,2
119,18,0.151260504,1,4,1,1,2
129,15,0.11627907,1,4,1,1,2
127,26,0.204724409,1,4,1,1,2
128,18,0.140625,1,4,1,1,2
123,9,0.073170732,1,4,1,1,2
127,24,0.188976378,1,4,1,1,2
123,16,0.130081301,1,4,1,1,2
124,17,0.137096774,1,4,1,1,2
120,12,0.1,1,4,1,1,2
128,17,0.1328125,1,4,1,1,2
124,12,0.096774194,1,4,1,1,2
126,15,0.119047619,1,4,1,1,2
118,21,0.177966102,1,4,1,1,2
121,16,0.132231405,1,4,1,1,2
121,0,0,1,4,1,1,2
125,10,0.08,1,4,1,1,2
121,18,0.148760331,1,4,1,1,2
122,25,0.204918033,1,4,1,1,2
124,17,0.137096774,1,4,1,1,2
124,9,0.072580645,1,4,1,1,2
124,13,0.10483871,1,4,1,1,2
122,10,0.081967213,1,4,1,1,2
121,19,0.157024793,1,4,1,1,2
124,16,0.129032258,1,4,1,1,2
121,9,0.074380165,1,4,1,1,2
119,13,0.109243697,1,4,1,1,2
120,14,0.116666667,1,4,1,1,2
124,27,0.217741935,1,4,1,1,2
122,20,0.163934426,1,4,1,1,2
127,15,0.118110236,1,4,1,1,2
122,8,0.06557377,1,4,1,1,2
117,11,0.094017094,1,4,1,1,2
127,16,0.125984252,1,4,1,1,2
125,31,0.248,1,4,1,1,2
118,8,0.06779661,1,4,1,1,2
117,17,0.145299145,1,4,1,1,2
122,15,0.12295082,1,4,1,1,2
127,0,0,1,4,1,1,2
127,18,0.141732283,1,4,1,1,2
124,25,0.201612903,1,4,1,1,2
119,13,0.109243697,1,4,1,1,2
121,15,0.123966942,1,4,1,1,2
128,20,0.15625,1,4,1,1,2
129,31,0.240310078,1,4,1,1,2
129,17,0.131782946,1,4,1,1,2
122,17,0.139344262,1,4,1,1,2
125,25,0.2,1,4,1,1,2
126,21,0.166666667,1,4,1,1,2
123,13,0.105691057,1,4,1,1,2
127,11,0.086614173,1,4,1,1,2
122,8,0.06557377,1,4,1,1,2
125,18,0.144,1,4,1,1,2
126,15,0.119047619,1,4,1,1,2
128,12,0.09375,1,4,1,1,2
122,11,0.090163934,1,4,1,1,2
121,12,0.099173554,1,4,1,1,2
124,22,0.177419355,1,4,1,1,2
126,13,0.103174603,1,4,1,1,2
128,11,0.0859375,1,4,1,1,2
124,0,0,1,4,1,1,2
128,7,0.0546875,1,4,1,1,2
122,20,0.163934426,1,4,1,1,2
130,17,0.130769231,1,4,1,1,2
121,28,0.231404959,1,4,1,1,2
123,14,0.113821138,1,4,1,1,2
125,14,0.112,1,4,1,1,2
126,19,0.150793651,1,4,1,1,2
131,12,0.091603053,1,4,1,1,2
121,13,0.107438017,1,4,1,1,2
121,8,0.066115702,1,4,1,1,2
122,21,0.172131148,1,4,1,1,2
126,7,0.055555556,1,4,1,1,2
125,4,0.032,1,4,1,1,2
126,2,0.015873016,1,4,1,1,2
125,20,0.16,1,4,1,1,2
123,10,0.081300813,1,4,1,1,2
121,3,0.024793388,1,4,1,1,2
121,20,0.165289256,1,4,1,1,2
123,16,0.130081301,1,4,1,1,2
122,12,0.098360656,1,4,1,1,2
127,27,0.212598425,1,4,1,1,2
125,26,0.208,1,4,1,1,2
127,17,0.133858268,1,4,1,1,2
130,19,0.146153846,1,4,1,1,2
125,14,0.112,1,4,1,1,2
126,22,0.174603175,1,4,1,1,2
123,0,0,1,4,1,1,2
123,15,0.12195122,1,4,1,1,2
121,11,0.090909091,1,4,1,1,2
128,18,0.140625,1,4,1,1,2
129,18,0.139534884,1,4,1,1,2
122,16,0.131147541,1,4,1,1,2
128,2,0.015625,1,4,1,1,2
130,27,0.207692308,1,4,1,1,2
122,10,0.081967213,1,4,1,1,2
121,18,0.148760331,1,4,1,1,2
124,11,0.088709677,1,4,1,1,2
119,9,0.075630252,1,4,1,1,2
123,16,0.130081301,1,4,1,1,2
125,5,0.04,1,4,1,1,2
125,11,0.088,1,4,1,1,2
123,13,0.105691057,1,4,1,1,2
117,16,0.136752137,1,4,1,1,2
123,20,0.162601626,1,4,1,1,2
121,12,0.099173554,1,4,1,1,2
124,16,0.129032258,1,4,1,1,2
126,28,0.222222222,1,4,1,1,2
124,21,0.169354839,1,4,1,1,2
127,13,0.102362205,1,4,1,1,2
123,13,0.105691057,1,4,1,1,2
130,26,0.2,1,4,1,1,2
120,15,0.125,1,4,1,1,2
125,0,0,1,4,1,1,2
121,15,0.123966942,1,4,1,1,2
123,26,0.211382114,1,4,1,1,2
123,11,0.089430894,1,4,1,1,2
119,14,0.117647059,1,4,1,1,2
