Total_Students,Casualties,Casualty_Rate,Straight ,NumberOfExits,WidthOfExits,Obstacles,WidthOfHallway
121,27,0.223140496,1,2,3,0,6
123,33,0.268292683,1,2,3,0,6
120,36,0.3,1,2,3,0,6
120,48,0.4,1,2,3,0,6
127,50,0.393700787,1,2,3,0,6
125,45,0.36,1,2,3,0,6
126,36,0.285714286,1,2,3,0,6
118,32,0.271186441,1,2,3,0,6
125,53,0.424,1,2,3,0,6
126,30,0.238095238,1,2,3,0,6
118,26,0.220338983,1,2,3,0,6
120,22,0.183333333,1,2,3,0,6
127,3,0.023622047,1,2,3,0,6
124,38,0.306451613,1,2,3,0,6
126,19,0.150793651,1,2,3,0,6
117,25,0.213675214,1,2,3,0,6
128,48,0.375,1,2,3,0,6
124,27,0.217741935,1,2,3,0,6
126,31,0.246031746,1,2,3,0,6
126,35,0.277777778,1,2,3,0,6
121,38,0.314049587,1,2,3,0,6
128,34,0.265625,1,2,3,0,6
123,42,0.341463415,1,2,3,0,6
120,39,0.325,1,2,3,0,6
124,28,0.225806452,1,2,3,0,6
117,33,0.282051282,1,2,3,0,6
122,24,0.196721311,1,2,3,0,6
124,23,0.185483871,1,2,3,0,6
118,13,0.110169492,1,2,3,0,6
123,35,0.284552846,1,2,3,0,6
119,26,0.218487395,1,2,3,0,6
122,26,0.213114754,1,2,3,0,6
119,21,0.176470588,1,2,3,0,6
120,26,0.216666667,1,2,3,0,6
126,29,0.23015873,1,2,3,0,6
117,23,0.196581197,1,2,3,0,6
123,37,0.300813008,1,2,3,0,6
118,36,0.305084746,1,2,3,0,6
128,37,0.2890625,1,2,3,0,6
122,38,0.31147541,1,2,3,0,6
124,20,0.161290323,1,2,3,0,6
120,28,0.233333333,1,2,3,0,6
118,31,0.262711864,1,2,3,0,6
122,8,0.06557377,1,2,3,0,6
123,47,0.382113821,1,2,3,0,6
115,18,0.156521739,1,2,3,0,6
125,29,0.232,1,2,3,0,6
126,38,0.301587302,1,2,3,0,6
123,23,0.18699187,1,2,3,0,6
126,36,0.285714286,1,2,3,0,6
120,53,0.441666667,1,2,3,0,6
121,36,0.297520661,1,2,3,0,6
123,18,0.146341463,1,2,3,0,6
118,42,0.355932203,1,2,3,0,6
126,20,0.158730159,1,2,3,0,6
123,27,0.219512195,1,2,3,0,6
124,24,0.193548387,1,2,3,0,6
119,7,0.058823529,1,2,3,0,6
126,22,0.174603175,1,2,3,0,6
124,47,0.379032258,1,2,3,0,6
121,35,0.289256198,1,2,3,0,6
120,26,0.216666667,1,2,3,0,6
122,35,0.286885246,1,2,3,0,6
121,36,0.297520661,1,2,3,0,6
122,32,0.262295082,1,2,3,0,6
122,24,0.196721311,1,2,3,0,6
128,31,0.2421875,1,2,3,0,6
128,41,0.3203125,1,2,3,0,6
