Total_Students,Casualties,Casualty_Rate,Straight ,NumberOfExits,WidthOfExits,Obstacles,WidthOfHallway
124,11,0.088709677,0,3,3,1,2
126,18,0.142857143,0,3,3,1,2
121,25,0.20661157,0,3,3,1,2
123,28,0.227642276,0,3,3,1,2
126,15,0.119047619,0,3,3,1,2
124,18,0.14516129,0,3,3,1,2
128,26,0.203125,0,3,3,1,2
128,19,0.1484375,0,3,3,1,2
126,19,0.150793651,0,3,3,1,2
124,19,0.153225806,0,3,3,1,2
124,19,0.153225806,0,3,3,1,2
127,17,0.133858268,0,3,3,1,2
129,20,0.15503876,0,3,3,1,2
123,16,0.130081301,0,3,3,1,2
131,12,0.091603053,0,3,3,1,2
128,39,0.3046875,0,3,3,1,2
128,2,0.015625,0,3,3,1,2
129,23,0.178294574,0,3,3,1,2
127,14,0.11023622,0,3,3,1,2
126,0,0,0,3,3,1,2
128,24,0.1875,0,3,3,1,2
125,25,0.2,0,3,3,1,2
124,23,0.185483871,0,3,3,1,2
128,19,0.1484375,0,3,3,1,2
126,11,0.087301587,0,3,3,1,2
121,9,0.074380165,0,3,3,1,2
124,34,0.274193548,0,3,3,1,2
129,6,0.046511628,0,3,3,1,2
128,32,0.25,0,3,3,1,2
128,18,0.140625,0,3,3,1,2
127,27,0.212598425,0,3,3,1,2
129,13,0.100775194,0,3,3,1,2
124,14,0.112903226,0,3,3,1,2
126,19,0.150793651,0,3,3,1,2
122,21,0.172131148,0,3,3,1,2
124,17,0.137096774,0,3,3,1,2
123,22,0.178861789,0,3,3,1,2
126,0,0,0,3,3,1,2
131,9,0.06870229,0,3,3,1,2
126,14,0.111111111,0,3,3,1,2
120,18,0.15,0,3,3,1,2
125,18,0.144,0,3,3,1,2
130,29,0.223076923,0,3,3,1,2
125,23,0.184,0,3,3,1,2
125,18,0.144,0,3,3,1,2
124,13,0.10483871,0,3,3,1,2
124,27,0.217741935,0,3,3,1,2
127,21,0.165354331,0,3,3,1,2
125,10,0.08,0,3,3,1,2
130,7,0.053846154,0,3,3,1,2
125,6,0.048,0,3,3,1,2
123,9,0.073170732,0,3,3,1,2
123,24,0.195121951,0,3,3,1,2
125,17,0.136,0,3,3,1,2
120,22,0.183333333,0,3,3,1,2
126,10,0.079365079,0,3,3,1,2
124,23,0.185483871,0,3,3,1,2
120,33,0.275,0,3,3,1,2
125,16,0.128,0,3,3,1,2
124,5,0.040322581,0,3,3,1,2
121,15,0.123966942,0,3,3,1,2
126,21,0.166666667,0,3,3,1,2
130,22,0.169230769,0,3,3,1,2
122,11,0.090163934,0,3,3,1,2
128,17,0.1328125,0,3,3,1,2
124,31,0.25,0,3,3,1,2
129,20,0.15503876,0,3,3,1,2
123,11,0.089430894,0,3,3,1,2
125,17,0.136,0,3,3,1,2
125,29,0.232,0,3,3,1,2
123,45,0.365853659,0,3,3,1,2
131,22,0.167938931,0,3,3,1,2
123,10,0.081300813,0,3,3,1,2
126,24,0.19047619,0,3,3,1,2
124,32,0.258064516,0,3,3,1,2
126,23,0.182539683,0,3,3,1,2
124,21,0.169354839,0,3,3,1,2
124,19,0.153225806,0,3,3,1,2
128,11,0.0859375,0,3,3,1,2
122,14,0.114754098,0,3,3,1,2
121,30,0.247933884,0,3,3,1,2
123,22,0.178861789,0,3,3,1,2
128,22,0.171875,0,3,3,1,2
128,15,0.1171875,0,3,3,1,2
123,22,0.178861789,0,3,3,1,2
126,17,0.134920635,0,3,3,1,2
125,37,0.296,0,3,3,1,2
130,0,0,0,3,3,1,2
121,20,0.165289256,0,3,3,1,2
125,25,0.2,0,3,3,1,2
130,10,0.076923077,0,3,3,1,2
126,12,0.095238095,0,3,3,1,2
128,19,0.1484375,0,3,3,1,2
124,7,0.056451613,0,3,3,1,2
129,14,0.108527132,0,3,3,1,2
126,15,0.119047619,0,3,3,1,2
130,27,0.207692308,0,3,3,1,2
125,3,0.024,0,3,3,1,2
130,30,0.230769231,0,3,3,1,2
118,12,0.101694915,0,3,3,1,2
127,13,0.102362205,0,3,3,1,2
123,4,0.032520325,0,3,3,1,2
132,19,0.143939394,0,3,3,1,2
125,20,0.16,0,3,3,1,2
127,33,0.25984252,0,3,3,1,2
132,19,0.143939394,0,3,3,1,2
129,17,0.131782946,0,3,3,1,2
129,31,0.240310078,0,3,3,1,2
129,4,0.031007752,0,3,3,1,2
124,32,0.258064516,0,3,3,1,2
132,19,0.143939394,0,3,3,1,2
126,12,0.095238095,0,3,3,1,2
125,9,0.072,0,3,3,1,2
129,11,0.085271318,0,3,3,1,2
125,24,0.192,0,3,3,1,2
126,17,0.134920635,0,3,3,1,2
123,33,0.268292683,0,3,3,1,2
124,30,0.241935484,0,3,3,1,2
130,15,0.115384615,0,3,3,1,2
124,47,0.379032258,0,3,3,1,2
120,27,0.225,0,3,3,1,2
122,20,0.163934426,0,3,3,1,2
123,10,0.081300813,0,3,3,1,2
122,14,0.114754098,0,3,3,1,2
128,27,0.2109375,0,3,3,1,2
130,12,0.092307692,0,3,3,1,2
126,18,0.142857143,0,3,3,1,2
130,17,0.130769231,0,3,3,1,2
124,20,0.161290323,0,3,3,1,2
126,20,0.158730159,0,3,3,1,2
126,7,0.055555556,0,3,3,1,2
119,28,0.235294118,0,3,3,1,2
128,26,0.203125,0,3,3,1,2
127,31,0.244094488,0,3,3,1,2
128,14,0.109375,0,3,3,1,2
127,20,0.157480315,0,3,3,1,2
125,6,0.048,0,3,3,1,2
