Total_Students,Casualties,Casualty_Rate,Straight ,NumberOfExits,WidthOfExits,Obstacles,WidthOfHallway
122,34,0.278688525,1,3,3,1,4
121,35,0.289256198,1,3,3,1,4
126,39,0.30952381,1,3,3,1,4
122,52,0.426229508,1,3,3,1,4
124,33,0.266129032,1,3,3,1,4
122,30,0.245901639,1,3,3,1,4
129,2,0.015503876,1,3,3,1,4
121,15,0.123966942,1,3,3,1,4
124,15,0.120967742,1,3,3,1,4
119,25,0.210084034,1,3,3,1,4
120,28,0.233333333,1,3,3,1,4
125,30,0.24,1,3,3,1,4
123,26,0.211382114,1,3,3,1,4
124,42,0.338709677,1,3,3,1,4
125,24,0.192,1,3,3,1,4
124,45,0.362903226,1,3,3,1,4
119,17,0.142857143,1,3,3,1,4
122,31,0.254098361,1,3,3,1,4
123,28,0.227642276,1,3,3,1,4
126,25,0.198412698,1,3,3,1,4
127,29,0.228346457,1,3,3,1,4
122,24,0.196721311,1,3,3,1,4
123,3,0.024390244,1,3,3,1,4
120,6,0.05,1,3,3,1,4
129,24,0.186046512,1,3,3,1,4
121,25,0.20661157,1,3,3,1,4
126,17,0.134920635,1,3,3,1,4
128,12,0.09375,1,3,3,1,4
126,24,0.19047619,1,3,3,1,4
119,23,0.193277311,1,3,3,1,4
128,6,0.046875,1,3,3,1,4
119,25,0.210084034,1,3,3,1,4
125,23,0.184,1,3,3,1,4
123,49,0.398373984,1,3,3,1,4
123,5,0.040650407,1,3,3,1,4
125,16,0.128,1,3,3,1,4
126,23,0.182539683,1,3,3,1,4
122,29,0.237704918,1,3,3,1,4
123,22,0.178861789,1,3,3,1,4
123,20,0.162601626,1,3,3,1,4
122,27,0.221311475,1,3,3,1,4
129,33,0.255813953,1,3,3,1,4
123,34,0.276422764,1,3,3,1,4
120,39,0.325,1,3,3,1,4
125,26,0.208,1,3,3,1,4
120,28,0.233333333,1,3,3,1,4
121,28,0.231404959,1,3,3,1,4
121,21,0.173553719,1,3,3,1,4
126,36,0.285714286,1,3,3,1,4
121,41,0.338842975,1,3,3,1,4
126,31,0.246031746,1,3,3,1,4
124,37,0.298387097,1,3,3,1,4
119,28,0.235294118,1,3,3,1,4
127,40,0.31496063,1,3,3,1,4
130,40,0.307692308,1,3,3,1,4
123,27,0.219512195,1,3,3,1,4
122,20,0.163934426,1,3,3,1,4
119,41,0.344537815,1,3,3,1,4
118,28,0.237288136,1,3,3,1,4
127,30,0.236220472,1,3,3,1,4
120,51,0.425,1,3,3,1,4
125,17,0.136,1,3,3,1,4
129,31,0.240310078,1,3,3,1,4
118,47,0.398305085,1,3,3,1,4
119,28,0.235294118,1,3,3,1,4
124,14,0.112903226,1,3,3,1,4
122,31,0.254098361,1,3,3,1,4
124,27,0.217741935,1,3,3,1,4
119,35,0.294117647,1,3,3,1,4
127,38,0.299212598,1,3,3,1,4
125,16,0.128,1,3,3,1,4
121,23,0.190082645,1,3,3,1,4
129,45,0.348837209,1,3,3,1,4
122,19,0.155737705,1,3,3,1,4
127,34,0.267716535,1,3,3,1,4
123,30,0.243902439,1,3,3,1,4
121,32,0.26446281,1,3,3,1,4
122,16,0.131147541,1,3,3,1,4
125,31,0.248,1,3,3,1,4
125,16,0.128,1,3,3,1,4
124,2,0.016129032,1,3,3,1,4
126,25,0.198412698,1,3,3,1,4
122,31,0.254098361,1,3,3,1,4
126,20,0.158730159,1,3,3,1,4
128,34,0.265625,1,3,3,1,4
126,21,0.166666667,1,3,3,1,4
131,54,0.41221374,1,3,3,1,4
128,30,0.234375,1,3,3,1,4
121,36,0.297520661,1,3,3,1,4
127,36,0.283464567,1,3,3,1,4
122,25,0.204918033,1,3,3,1,4
119,28,0.235294118,1,3,3,1,4
125,21,0.168,1,3,3,1,4
120,43,0.358333333,1,3,3,1,4
119,30,0.25210084,1,3,3,1,4
126,38,0.301587302,1,3,3,1,4
122,28,0.229508197,1,3,3,1,4
125,25,0.2,1,3,3,1,4
121,39,0.32231405,1,3,3,1,4
120,25,0.208333333,1,3,3,1,4
123,26,0.211382114,1,3,3,1,4
121,49,0.404958678,1,3,3,1,4
120,25,0.208333333,1,3,3,1,4
121,39,0.32231405,1,3,3,1,4
116,49,0.422413793,1,3,3,1,4
124,43,0.346774194,1,3,3,1,4
121,49,0.404958678,1,3,3,1,4
124,21,0.169354839,1,3,3,1,4
124,28,0.225806452,1,3,3,1,4
122,35,0.286885246,1,3,3,1,4
125,28,0.224,1,3,3,1,4
126,28,0.222222222,1,3,3,1,4
122,16,0.131147541,1,3,3,1,4
125,45,0.36,1,3,3,1,4
124,18,0.14516129,1,3,3,1,4
121,32,0.26446281,1,3,3,1,4
122,44,0.360655738,1,3,3,1,4
128,27,0.2109375,1,3,3,1,4
122,19,0.155737705,1,3,3,1,4
122,27,0.221311475,1,3,3,1,4
124,29,0.233870968,1,3,3,1,4
125,13,0.104,1,3,3,1,4
122,29,0.237704918,1,3,3,1,4
126,5,0.03968254,1,3,3,1,4
127,38,0.299212598,1,3,3,1,4
113,27,0.238938053,1,3,3,1,4
122,34,0.278688525,1,3,3,1,4
127,8,0.062992126,1,3,3,1,4
125,26,0.208,1,3,3,1,4
127,43,0.338582677,1,3,3,1,4
126,45,0.357142857,1,3,3,1,4
123,9,0.073170732,1,3,3,1,4
126,26,0.206349206,1,3,3,1,4
124,26,0.209677419,1,3,3,1,4
129,31,0.240310078,1,3,3,1,4
120,35,0.291666667,1,3,3,1,4
125,49,0.392,1,3,3,1,4
125,24,0.192,1,3,3,1,4
118,37,0.313559322,1,3,3,1,4
128,21,0.1640625,1,3,3,1,4
124,47,0.379032258,1,3,3,1,4
121,44,0.363636364,1,3,3,1,4
123,13,0.105691057,1,3,3,1,4
120,43,0.358333333,1,3,3,1,4
121,35,0.289256198,1,3,3,1,4
122,18,0.147540984,1,3,3,1,4
125,18,0.144,1,3,3,1,4
117,19,0.162393162,1,3,3,1,4
124,27,0.217741935,1,3,3,1,4
123,12,0.097560976,1,3,3,1,4
122,37,0.303278689,1,3,3,1,4
124,26,0.209677419,1,3,3,1,4
124,32,0.258064516,1,3,3,1,4
122,25,0.204918033,1,3,3,1,4
122,24,0.196721311,1,3,3,1,4
118,19,0.161016949,1,3,3,1,4
119,34,0.285714286,1,3,3,1,4
124,22,0.177419355,1,3,3,1,4
122,37,0.303278689,1,3,3,1,4
122,22,0.180327869,1,3,3,1,4
120,31,0.258333333,1,3,3,1,4
125,25,0.2,1,3,3,1,4
125,7,0.056,1,3,3,1,4
124,39,0.314516129,1,3,3,1,4
125,31,0.248,1,3,3,1,4
127,41,0.322834646,1,3,3,1,4
124,39,0.314516129,1,3,3,1,4
127,23,0.181102362,1,3,3,1,4
126,2,0.015873016,1,3,3,1,4
127,23,0.181102362,1,3,3,1,4
117,34,0.290598291,1,3,3,1,4
122,25,0.204918033,1,3,3,1,4
125,28,0.224,1,3,3,1,4
124,33,0.266129032,1,3,3,1,4
128,25,0.1953125,1,3,3,1,4
122,44,0.360655738,1,3,3,1,4
122,23,0.18852459,1,3,3,1,4
121,40,0.330578512,1,3,3,1,4
124,19,0.153225806,1,3,3,1,4
119,12,0.100840336,1,3,3,1,4
117,29,0.247863248,1,3,3,1,4
120,18,0.15,1,3,3,1,4
122,10,0.081967213,1,3,3,1,4
121,25,0.20661157,1,3,3,1,4
120,33,0.275,1,3,3,1,4
122,17,0.139344262,1,3,3,1,4
123,15,0.12195122,1,3,3,1,4
121,17,0.140495868,1,3,3,1,4
117,26,0.222222222,1,3,3,1,4
126,17,0.134920635,1,3,3,1,4
125,28,0.224,1,3,3,1,4
129,28,0.217054264,1,3,3,1,4
120,28,0.233333333,1,3,3,1,4
123,15,0.12195122,1,3,3,1,4
127,42,0.330708661,1,3,3,1,4
123,26,0.211382114,1,3,3,1,4
125,7,0.056,1,3,3,1,4
124,32,0.258064516,1,3,3,1,4
127,19,0.149606299,1,3,3,1,4
124,7,0.056451613,1,3,3,1,4
125,25,0.2,1,3,3,1,4
128,3,0.0234375,1,3,3,1,4
119,31,0.260504202,1,3,3,1,4
121,30,0.247933884,1,3,3,1,4
119,36,0.302521008,1,3,3,1,4
127,31,0.244094488,1,3,3,1,4
129,45,0.348837209,1,3,3,1,4
122,19,0.155737705,1,3,3,1,4
124,36,0.290322581,1,3,3,1,4
122,38,0.31147541,1,3,3,1,4
122,45,0.368852459,1,3,3,1,4
126,26,0.206349206,1,3,3,1,4
126,44,0.349206349,1,3,3,1,4
117,22,0.188034188,1,3,3,1,4
122,28,0.229508197,1,3,3,1,4
123,32,0.260162602,1,3,3,1,4
122,26,0.213114754,1,3,3,1,4
123,27,0.219512195,1,3,3,1,4
124,43,0.346774194,1,3,3,1,4
119,17,0.142857143,1,3,3,1,4
123,30,0.243902439,1,3,3,1,4
123,21,0.170731707,1,3,3,1,4
124,16,0.129032258,1,3,3,1,4
126,28,0.222222222,1,3,3,1,4
122,36,0.295081967,1,3,3,1,4
125,20,0.16,1,3,3,1,4
125,30,0.24,1,3,3,1,4
128,39,0.3046875,1,3,3,1,4
123,16,0.130081301,1,3,3,1,4
119,22,0.18487395,1,3,3,1,4
124,27,0.217741935,1,3,3,1,4
126,28,0.222222222,1,3,3,1,4
126,21,0.166666667,1,3,3,1,4
126,19,0.150793651,1,3,3,1,4
125,26,0.208,1,3,3,1,4
127,30,0.236220472,1,3,3,1,4
117,23,0.196581197,1,3,3,1,4
127,19,0.149606299,1,3,3,1,4
122,52,0.426229508,1,3,3,1,4
122,24,0.196721311,1,3,3,1,4
119,42,0.352941176,1,3,3,1,4
126,12,0.095238095,1,3,3,1,4
123,26,0.211382114,1,3,3,1,4
126,19,0.150793651,1,3,3,1,4
122,26,0.213114754,1,3,3,1,4
120,24,0.2,1,3,3,1,4
123,25,0.203252033,1,3,3,1,4
120,18,0.15,1,3,3,1,4
123,19,0.154471545,1,3,3,1,4
130,34,0.261538462,1,3,3,1,4
