Total_Students,Casualties,Casualty_Rate,Straight ,NumberOfExits,WidthOfExits,Obstacles,WidthOfHallway
121,0,0,0,4,3,1,6
122,13,0.106557377,0,4,3,1,6
127,7,0.05511811,0,4,3,1,6
128,17,0.1328125,0,4,3,1,6
128,15,0.1171875,0,4,3,1,6
123,20,0.162601626,0,4,3,1,6
124,14,0.112903226,0,4,3,1,6
122,11,0.090163934,0,4,3,1,6
125,12,0.096,0,4,3,1,6
131,18,0.13740458,0,4,3,1,6
127,12,0.094488189,0,4,3,1,6
126,14,0.111111111,0,4,3,1,6
126,24,0.19047619,0,4,3,1,6
121,10,0.082644628,0,4,3,1,6
125,19,0.152,0,4,3,1,6
123,14,0.113821138,0,4,3,1,6
126,12,0.095238095,0,4,3,1,6
124,14,0.112903226,0,4,3,1,6
124,16,0.129032258,0,4,3,1,6
124,23,0.185483871,0,4,3,1,6
126,10,0.079365079,0,4,3,1,6
118,15,0.127118644,0,4,3,1,6
127,28,0.220472441,0,4,3,1,6
128,19,0.1484375,0,4,3,1,6
121,17,0.140495868,0,4,3,1,6
133,20,0.15037594,0,4,3,1,6
121,15,0.123966942,0,4,3,1,6
131,14,0.106870229,0,4,3,1,6
124,25,0.201612903,0,4,3,1,6
122,17,0.139344262,0,4,3,1,6
127,18,0.141732283,0,4,3,1,6
121,7,0.05785124,0,4,3,1,6
128,15,0.1171875,0,4,3,1,6
129,12,0.093023256,0,4,3,1,6
122,28,0.229508197,0,4,3,1,6
124,13,0.10483871,0,4,3,1,6
126,21,0.166666667,0,4,3,1,6
128,9,0.0703125,0,4,3,1,6
124,11,0.088709677,0,4,3,1,6
129,15,0.11627907,0,4,3,1,6
119,22,0.18487395,0,4,3,1,6
125,20,0.16,0,4,3,1,6
128,14,0.109375,0,4,3,1,6
121,15,0.123966942,0,4,3,1,6
129,12,0.093023256,0,4,3,1,6
124,12,0.096774194,0,4,3,1,6
128,12,0.09375,0,4,3,1,6
131,20,0.152671756,0,4,3,1,6
125,21,0.168,0,4,3,1,6
128,11,0.0859375,0,4,3,1,6
129,13,0.100775194,0,4,3,1,6
122,14,0.114754098,0,4,3,1,6
125,23,0.184,0,4,3,1,6
120,16,0.133333333,0,4,3,1,6
130,10,0.076923077,0,4,3,1,6
128,27,0.2109375,0,4,3,1,6
127,12,0.094488189,0,4,3,1,6
130,15,0.115384615,0,4,3,1,6
123,19,0.154471545,0,4,3,1,6
125,23,0.184,0,4,3,1,6
124,16,0.129032258,0,4,3,1,6
123,27,0.219512195,0,4,3,1,6
118,16,0.13559322,0,4,3,1,6
123,13,0.105691057,0,4,3,1,6
121,19,0.157024793,0,4,3,1,6
125,8,0.064,0,4,3,1,6
121,14,0.115702479,0,4,3,1,6
125,14,0.112,0,4,3,1,6
124,8,0.064516129,0,4,3,1,6
126,12,0.095238095,0,4,3,1,6
119,15,0.12605042,0,4,3,1,6
119,9,0.075630252,0,4,3,1,6
125,16,0.128,0,4,3,1,6
121,14,0.115702479,0,4,3,1,6
124,26,0.209677419,0,4,3,1,6
123,12,0.097560976,0,4,3,1,6
127,9,0.070866142,0,4,3,1,6
123,15,0.12195122,0,4,3,1,6
128,17,0.1328125,0,4,3,1,6
128,10,0.078125,0,4,3,1,6
126,18,0.142857143,0,4,3,1,6
127,28,0.220472441,0,4,3,1,6
123,12,0.097560976,0,4,3,1,6
131,28,0.213740458,0,4,3,1,6
125,23,0.184,0,4,3,1,6
123,15,0.12195122,0,4,3,1,6
125,16,0.128,0,4,3,1,6
124,14,0.112903226,0,4,3,1,6
122,13,0.106557377,0,4,3,1,6
126,28,0.222222222,0,4,3,1,6
128,15,0.1171875,0,4,3,1,6
129,13,0.100775194,0,4,3,1,6
122,11,0.090163934,0,4,3,1,6
123,16,0.130081301,0,4,3,1,6
125,10,0.08,0,4,3,1,6
122,14,0.114754098,0,4,3,1,6
122,10,0.081967213,0,4,3,1,6
126,15,0.119047619,0,4,3,1,6
127,24,0.188976378,0,4,3,1,6
129,2,0.015503876,0,4,3,1,6
123,12,0.097560976,0,4,3,1,6
124,9,0.072580645,0,4,3,1,6
128,13,0.1015625,0,4,3,1,6
130,17,0.130769231,0,4,3,1,6
126,14,0.111111111,0,4,3,1,6
113,15,0.132743363,0,4,3,1,6
128,9,0.0703125,0,4,3,1,6
120,11,0.091666667,0,4,3,1,6
122,22,0.180327869,0,4,3,1,6
126,13,0.103174603,0,4,3,1,6
128,21,0.1640625,0,4,3,1,6
124,14,0.112903226,0,4,3,1,6
123,11,0.089430894,0,4,3,1,6
126,18,0.142857143,0,4,3,1,6
123,12,0.097560976,0,4,3,1,6
125,23,0.184,0,4,3,1,6
122,12,0.098360656,0,4,3,1,6
119,14,0.117647059,0,4,3,1,6
120,18,0.15,0,4,3,1,6
130,14,0.107692308,0,4,3,1,6
121,22,0.181818182,0,4,3,1,6
120,15,0.125,0,4,3,1,6
124,14,0.112903226,0,4,3,1,6
121,11,0.090909091,0,4,3,1,6
127,25,0.196850394,0,4,3,1,6
125,14,0.112,0,4,3,1,6
126,7,0.055555556,0,4,3,1,6
126,12,0.095238095,0,4,3,1,6
124,19,0.153225806,0,4,3,1,6
124,10,0.080645161,0,4,3,1,6
123,5,0.040650407,0,4,3,1,6
125,18,0.144,0,4,3,1,6
123,16,0.130081301,0,4,3,1,6
123,22,0.178861789,0,4,3,1,6
123,16,0.130081301,0,4,3,1,6
123,22,0.178861789,0,4,3,1,6
120,18,0.15,0,4,3,1,6
117,12,0.102564103,0,4,3,1,6
127,13,0.102362205,0,4,3,1,6
122,13,0.106557377,0,4,3,1,6
125,17,0.136,0,4,3,1,6
123,18,0.146341463,0,4,3,1,6
123,27,0.219512195,0,4,3,1,6
122,9,0.073770492,0,4,3,1,6
124,19,0.153225806,0,4,3,1,6
123,15,0.12195122,0,4,3,1,6
122,9,0.073770492,0,4,3,1,6
122,17,0.139344262,0,4,3,1,6
124,12,0.096774194,0,4,3,1,6
124,28,0.225806452,0,4,3,1,6
130,21,0.161538462,0,4,3,1,6
128,18,0.140625,0,4,3,1,6
124,19,0.153225806,0,4,3,1,6
128,21,0.1640625,0,4,3,1,6
123,26,0.211382114,0,4,3,1,6
123,15,0.12195122,0,4,3,1,6
124,3,0.024193548,0,4,3,1,6
130,23,0.176923077,0,4,3,1,6
128,17,0.1328125,0,4,3,1,6
124,14,0.112903226,0,4,3,1,6
122,23,0.18852459,0,4,3,1,6
127,10,0.078740157,0,4,3,1,6
124,17,0.137096774,0,4,3,1,6
130,13,0.1,0,4,3,1,6
123,18,0.146341463,0,4,3,1,6
123,13,0.105691057,0,4,3,1,6
121,19,0.157024793,0,4,3,1,6
125,8,0.064,0,4,3,1,6
124,9,0.072580645,0,4,3,1,6
125,15,0.12,0,4,3,1,6
119,16,0.134453782,0,4,3,1,6
130,11,0.084615385,0,4,3,1,6
125,24,0.192,0,4,3,1,6
118,20,0.169491525,0,4,3,1,6
120,12,0.1,0,4,3,1,6
128,9,0.0703125,0,4,3,1,6
124,15,0.120967742,0,4,3,1,6
118,20,0.169491525,0,4,3,1,6
121,16,0.132231405,0,4,3,1,6
119,18,0.151260504,0,4,3,1,6
126,20,0.158730159,0,4,3,1,6
129,14,0.108527132,0,4,3,1,6
121,20,0.165289256,0,4,3,1,6
126,18,0.142857143,0,4,3,1,6
126,12,0.095238095,0,4,3,1,6
122,20,0.163934426,0,4,3,1,6
130,20,0.153846154,0,4,3,1,6
126,16,0.126984127,0,4,3,1,6
123,12,0.097560976,0,4,3,1,6
130,13,0.1,0,4,3,1,6
128,16,0.125,0,4,3,1,6
126,19,0.150793651,0,4,3,1,6
123,17,0.138211382,0,4,3,1,6
123,31,0.25203252,0,4,3,1,6
125,24,0.192,0,4,3,1,6
127,13,0.102362205,0,4,3,1,6
125,18,0.144,0,4,3,1,6
129,13,0.100775194,0,4,3,1,6
125,21,0.168,0,4,3,1,6
121,15,0.123966942,0,4,3,1,6
126,10,0.079365079,0,4,3,1,6
118,15,0.127118644,0,4,3,1,6
123,12,0.097560976,0,4,3,1,6
121,15,0.123966942,0,4,3,1,6
121,21,0.173553719,0,4,3,1,6
124,12,0.096774194,0,4,3,1,6
122,14,0.114754098,0,4,3,1,6
124,14,0.112903226,0,4,3,1,6
120,19,0.158333333,0,4,3,1,6
120,12,0.1,0,4,3,1,6
128,8,0.0625,0,4,3,1,6
125,16,0.128,0,4,3,1,6
125,21,0.168,0,4,3,1,6
126,18,0.142857143,0,4,3,1,6
128,16,0.125,0,4,3,1,6
130,12,0.092307692,0,4,3,1,6
120,22,0.183333333,0,4,3,1,6
124,12,0.096774194,0,4,3,1,6
125,21,0.168,0,4,3,1,6
125,0,0,0,4,3,1,6
123,16,0.130081301,0,4,3,1,6
125,31,0.248,0,4,3,1,6
126,17,0.134920635,0,4,3,1,6
122,16,0.131147541,0,4,3,1,6
124,7,0.056451613,0,4,3,1,6
125,29,0.232,0,4,3,1,6
131,19,0.145038168,0,4,3,1,6
120,13,0.108333333,0,4,3,1,6
128,20,0.15625,0,4,3,1,6
126,18,0.142857143,0,4,3,1,6
120,16,0.133333333,0,4,3,1,6
130,28,0.215384615,0,4,3,1,6
126,16,0.126984127,0,4,3,1,6
130,20,0.153846154,0,4,3,1,6
120,16,0.133333333,0,4,3,1,6
123,19,0.154471545,0,4,3,1,6
124,21,0.169354839,0,4,3,1,6
122,20,0.163934426,0,4,3,1,6
124,7,0.056451613,0,4,3,1,6
120,11,0.091666667,0,4,3,1,6
123,22,0.178861789,0,4,3,1,6
124,18,0.14516129,0,4,3,1,6
124,11,0.088709677,0,4,3,1,6
121,15,0.123966942,0,4,3,1,6
121,15,0.123966942,0,4,3,1,6
125,12,0.096,0,4,3,1,6
126,27,0.214285714,0,4,3,1,6
122,14,0.114754098,0,4,3,1,6
127,11,0.086614173,0,4,3,1,6
124,12,0.096774194,0,4,3,1,6
