Total_Students,Casualties,Casualty_Rate,Straight ,NumberOfExits,WidthOfExits,Obstacles,WidthOfHallway
120,3,0.025,1,1,3,0,2
121,21,0.173553719,1,1,3,0,2
125,26,0.208,1,1,3,0,2
123,15,0.12195122,1,1,3,0,2
124,28,0.225806452,1,1,3,0,2
124,44,0.35483871,1,1,3,0,2
120,57,0.475,1,1,3,0,2
125,56,0.448,1,1,3,0,2
122,29,0.237704918,1,1,3,0,2
123,33,0.268292683,1,1,3,0,2
124,0,0,1,1,3,0,2
120,14,0.116666667,1,1,3,0,2
118,39,0.330508475,1,1,3,0,2
120,42,0.35,1,1,3,0,2
125,36,0.288,1,1,3,0,2
126,49,0.388888889,1,1,3,0,2
133,63,0.473684211,1,1,3,0,2
119,30,0.25210084,1,1,3,0,2
121,22,0.181818182,1,1,3,0,2
127,44,0.346456693,1,1,3,0,2
129,11,0.085271318,1,1,3,0,2
124,50,0.403225806,1,1,3,0,2
125,21,0.168,1,1,3,0,2
129,45,0.348837209,1,1,3,0,2
126,43,0.341269841,1,1,3,0,2
123,51,0.414634146,1,1,3,0,2
121,37,0.305785124,1,1,3,0,2
120,46,0.383333333,1,1,3,0,2
125,2,0.016,1,1,3,0,2
124,40,0.322580645,1,1,3,0,2
123,56,0.455284553,1,1,3,0,2
117,44,0.376068376,1,1,3,0,2
130,2,0.015384615,1,1,3,0,2
122,44,0.360655738,1,1,3,0,2
125,62,0.496,1,1,3,0,2
128,60,0.46875,1,1,3,0,2
127,53,0.417322835,1,1,3,0,2
121,45,0.371900826,1,1,3,0,2
120,36,0.3,1,1,3,0,2
125,68,0.544,1,1,3,0,2
121,38,0.314049587,1,1,3,0,2
128,34,0.265625,1,1,3,0,2
119,58,0.487394958,1,1,3,0,2
127,63,0.496062992,1,1,3,0,2
120,49,0.408333333,1,1,3,0,2
120,34,0.283333333,1,1,3,0,2
128,52,0.40625,1,1,3,0,2
122,36,0.295081967,1,1,3,0,2
124,79,0.637096774,1,1,3,0,2
126,58,0.46031746,1,1,3,0,2
120,41,0.341666667,1,1,3,0,2
