Total_Students,Casualties,Casualty_Rate,Straight ,NumberOfExits,WidthOfExits,Obstacles,WidthOfHallway
130,23,0.176923077,1,3,1,1,6
124,20,0.161290323,1,3,1,1,6
125,23,0.184,1,3,1,1,6
123,17,0.138211382,1,3,1,1,6
128,30,0.234375,1,3,1,1,6
123,26,0.211382114,1,3,1,1,6
122,22,0.180327869,1,3,1,1,6
127,22,0.173228346,1,3,1,1,6
123,15,0.12195122,1,3,1,1,6
126,41,0.325396825,1,3,1,1,6
127,14,0.11023622,1,3,1,1,6
125,26,0.208,1,3,1,1,6
130,19,0.146153846,1,3,1,1,6
123,20,0.162601626,1,3,1,1,6
125,25,0.2,1,3,1,1,6
124,28,0.225806452,1,3,1,1,6
131,11,0.083969466,1,3,1,1,6
129,17,0.131782946,1,3,1,1,6
130,24,0.184615385,1,3,1,1,6
124,18,0.14516129,1,3,1,1,6
129,34,0.263565891,1,3,1,1,6
130,34,0.261538462,1,3,1,1,6
130,31,0.238461538,1,3,1,1,6
127,54,0.42519685,1,3,1,1,6
121,35,0.289256198,1,3,1,1,6
127,37,0.291338583,1,3,1,1,6
126,29,0.23015873,1,3,1,1,6
127,29,0.228346457,1,3,1,1,6
123,23,0.18699187,1,3,1,1,6
122,22,0.180327869,1,3,1,1,6
126,32,0.253968254,1,3,1,1,6
122,33,0.270491803,1,3,1,1,6
124,18,0.14516129,1,3,1,1,6
127,27,0.212598425,1,3,1,1,6
124,19,0.153225806,1,3,1,1,6
126,21,0.166666667,1,3,1,1,6
125,24,0.192,1,3,1,1,6
126,26,0.206349206,1,3,1,1,6
119,35,0.294117647,1,3,1,1,6
128,27,0.2109375,1,3,1,1,6
126,17,0.134920635,1,3,1,1,6
128,23,0.1796875,1,3,1,1,6
121,38,0.314049587,1,3,1,1,6
120,30,0.25,1,3,1,1,6
126,26,0.206349206,1,3,1,1,6
126,22,0.174603175,1,3,1,1,6
121,15,0.123966942,1,3,1,1,6
125,42,0.336,1,3,1,1,6
129,16,0.124031008,1,3,1,1,6
126,20,0.158730159,1,3,1,1,6
125,20,0.16,1,3,1,1,6
129,19,0.147286822,1,3,1,1,6
128,13,0.1015625,1,3,1,1,6
127,28,0.220472441,1,3,1,1,6
129,20,0.15503876,1,3,1,1,6
127,23,0.181102362,1,3,1,1,6
123,33,0.268292683,1,3,1,1,6
125,26,0.208,1,3,1,1,6
127,32,0.251968504,1,3,1,1,6
127,17,0.133858268,1,3,1,1,6
123,18,0.146341463,1,3,1,1,6
124,23,0.185483871,1,3,1,1,6
121,38,0.314049587,1,3,1,1,6
124,33,0.266129032,1,3,1,1,6
126,43,0.341269841,1,3,1,1,6
124,19,0.153225806,1,3,1,1,6
129,27,0.209302326,1,3,1,1,6
122,31,0.254098361,1,3,1,1,6
129,42,0.325581395,1,3,1,1,6
129,22,0.170542636,1,3,1,1,6
132,19,0.143939394,1,3,1,1,6
132,18,0.136363636,1,3,1,1,6
132,10,0.075757576,1,3,1,1,6
118,19,0.161016949,1,3,1,1,6
130,32,0.246153846,1,3,1,1,6
124,40,0.322580645,1,3,1,1,6
130,19,0.146153846,1,3,1,1,6
121,16,0.132231405,1,3,1,1,6
125,25,0.2,1,3,1,1,6
124,20,0.161290323,1,3,1,1,6
123,23,0.18699187,1,3,1,1,6
126,11,0.087301587,1,3,1,1,6
121,24,0.198347107,1,3,1,1,6
127,28,0.220472441,1,3,1,1,6
126,32,0.253968254,1,3,1,1,6
128,17,0.1328125,1,3,1,1,6
134,23,0.171641791,1,3,1,1,6
128,20,0.15625,1,3,1,1,6
129,35,0.271317829,1,3,1,1,6
127,29,0.228346457,1,3,1,1,6
128,16,0.125,1,3,1,1,6
121,24,0.198347107,1,3,1,1,6
121,27,0.223140496,1,3,1,1,6
122,20,0.163934426,1,3,1,1,6
122,13,0.106557377,1,3,1,1,6
121,18,0.148760331,1,3,1,1,6
130,20,0.153846154,1,3,1,1,6
124,30,0.241935484,1,3,1,1,6
120,22,0.183333333,1,3,1,1,6
133,45,0.338345865,1,3,1,1,6
123,31,0.25203252,1,3,1,1,6
127,28,0.220472441,1,3,1,1,6
128,26,0.203125,1,3,1,1,6
127,28,0.220472441,1,3,1,1,6
123,17,0.138211382,1,3,1,1,6
129,26,0.201550388,1,3,1,1,6
132,23,0.174242424,1,3,1,1,6
