Total_Students,Casualties,Casualty_Rate,Straight ,NumberOfExits,WidthOfExits,Obstacles,WidthOfHallway
124,8,0.064516129,0,2,3,1,4
121,29,0.239669421,0,2,3,1,4
123,47,0.382113821,0,2,3,1,4
128,31,0.2421875,0,2,3,1,4
123,31,0.25203252,0,2,3,1,4
122,15,0.12295082,0,2,3,1,4
122,25,0.204918033,0,2,3,1,4
128,17,0.1328125,0,2,3,1,4
123,38,0.308943089,0,2,3,1,4
130,28,0.215384615,0,2,3,1,4
127,39,0.307086614,0,2,3,1,4
127,35,0.275590551,0,2,3,1,4
123,32,0.260162602,0,2,3,1,4
122,15,0.12295082,0,2,3,1,4
123,24,0.195121951,0,2,3,1,4
125,48,0.384,0,2,3,1,4
126,25,0.198412698,0,2,3,1,4
130,45,0.346153846,0,2,3,1,4
127,12,0.094488189,0,2,3,1,4
128,32,0.25,0,2,3,1,4
126,40,0.317460317,0,2,3,1,4
123,47,0.382113821,0,2,3,1,4
127,46,0.362204724,0,2,3,1,4
126,30,0.238095238,0,2,3,1,4
129,31,0.240310078,0,2,3,1,4
122,35,0.286885246,0,2,3,1,4
127,29,0.228346457,0,2,3,1,4
129,28,0.217054264,0,2,3,1,4
128,42,0.328125,0,2,3,1,4
123,38,0.308943089,0,2,3,1,4
127,30,0.236220472,0,2,3,1,4
124,18,0.14516129,0,2,3,1,4
124,38,0.306451613,0,2,3,1,4
127,32,0.251968504,0,2,3,1,4
125,34,0.272,0,2,3,1,4
127,27,0.212598425,0,2,3,1,4
125,41,0.328,0,2,3,1,4
132,45,0.340909091,0,2,3,1,4
133,31,0.233082707,0,2,3,1,4
132,33,0.25,0,2,3,1,4
126,37,0.293650794,0,2,3,1,4
122,31,0.254098361,0,2,3,1,4
123,25,0.203252033,0,2,3,1,4
127,39,0.307086614,0,2,3,1,4
127,33,0.25984252,0,2,3,1,4
126,11,0.087301587,0,2,3,1,4
127,44,0.346456693,0,2,3,1,4
122,25,0.204918033,0,2,3,1,4
128,25,0.1953125,0,2,3,1,4
122,24,0.196721311,0,2,3,1,4
126,25,0.198412698,0,2,3,1,4
119,5,0.042016807,0,2,3,1,4
125,32,0.256,0,2,3,1,4
124,37,0.298387097,0,2,3,1,4
130,48,0.369230769,0,2,3,1,4
122,17,0.139344262,0,2,3,1,4
124,35,0.282258065,0,2,3,1,4
124,45,0.362903226,0,2,3,1,4
135,34,0.251851852,0,2,3,1,4
119,20,0.168067227,0,2,3,1,4
124,23,0.185483871,0,2,3,1,4
121,22,0.181818182,0,2,3,1,4
125,47,0.376,0,2,3,1,4
118,32,0.271186441,0,2,3,1,4
128,31,0.2421875,0,2,3,1,4
129,29,0.224806202,0,2,3,1,4
124,25,0.201612903,0,2,3,1,4
125,29,0.232,0,2,3,1,4
121,21,0.173553719,0,2,3,1,4
123,33,0.268292683,0,2,3,1,4
128,45,0.3515625,0,2,3,1,4
126,23,0.182539683,0,2,3,1,4
116,35,0.301724138,0,2,3,1,4
125,21,0.168,0,2,3,1,4
129,39,0.302325581,0,2,3,1,4
124,27,0.217741935,0,2,3,1,4
129,32,0.248062016,0,2,3,1,4
124,28,0.225806452,0,2,3,1,4
123,21,0.170731707,0,2,3,1,4
127,32,0.251968504,0,2,3,1,4
121,21,0.173553719,0,2,3,1,4
125,49,0.392,0,2,3,1,4
124,39,0.314516129,0,2,3,1,4
125,45,0.36,0,2,3,1,4
130,26,0.2,0,2,3,1,4
130,55,0.423076923,0,2,3,1,4
126,37,0.293650794,0,2,3,1,4
128,40,0.3125,0,2,3,1,4
124,47,0.379032258,0,2,3,1,4
131,28,0.213740458,0,2,3,1,4
121,33,0.272727273,0,2,3,1,4
124,31,0.25,0,2,3,1,4
122,26,0.213114754,0,2,3,1,4
132,24,0.181818182,0,2,3,1,4
126,18,0.142857143,0,2,3,1,4
125,27,0.216,0,2,3,1,4
127,44,0.346456693,0,2,3,1,4
120,28,0.233333333,0,2,3,1,4
125,6,0.048,0,2,3,1,4
130,26,0.2,0,2,3,1,4
129,37,0.286821705,0,2,3,1,4
131,31,0.236641221,0,2,3,1,4
129,24,0.186046512,0,2,3,1,4
128,45,0.3515625,0,2,3,1,4
126,13,0.103174603,0,2,3,1,4
122,9,0.073770492,0,2,3,1,4
128,28,0.21875,0,2,3,1,4
127,43,0.338582677,0,2,3,1,4
134,24,0.179104478,0,2,3,1,4
122,44,0.360655738,0,2,3,1,4
123,23,0.18699187,0,2,3,1,4
126,25,0.198412698,0,2,3,1,4
123,19,0.154471545,0,2,3,1,4
123,19,0.154471545,0,2,3,1,4
128,35,0.2734375,0,2,3,1,4
120,50,0.416666667,0,2,3,1,4
127,29,0.228346457,0,2,3,1,4
126,22,0.174603175,0,2,3,1,4
126,26,0.206349206,0,2,3,1,4
122,38,0.31147541,0,2,3,1,4
123,39,0.317073171,0,2,3,1,4
125,59,0.472,0,2,3,1,4
127,29,0.228346457,0,2,3,1,4
134,32,0.23880597,0,2,3,1,4
128,15,0.1171875,0,2,3,1,4
130,48,0.369230769,0,2,3,1,4
120,25,0.208333333,0,2,3,1,4
122,16,0.131147541,0,2,3,1,4
129,28,0.217054264,0,2,3,1,4
122,27,0.221311475,0,2,3,1,4
122,32,0.262295082,0,2,3,1,4
127,19,0.149606299,0,2,3,1,4
125,32,0.256,0,2,3,1,4
124,29,0.233870968,0,2,3,1,4
129,24,0.186046512,0,2,3,1,4
125,45,0.36,0,2,3,1,4
121,39,0.32231405,0,2,3,1,4
126,39,0.30952381,0,2,3,1,4
123,34,0.276422764,0,2,3,1,4
126,34,0.26984127,0,2,3,1,4
128,22,0.171875,0,2,3,1,4
125,21,0.168,0,2,3,1,4
122,35,0.286885246,0,2,3,1,4
123,23,0.18699187,0,2,3,1,4
127,19,0.149606299,0,2,3,1,4
127,29,0.228346457,0,2,3,1,4
127,52,0.409448819,0,2,3,1,4
125,43,0.344,0,2,3,1,4
130,29,0.223076923,0,2,3,1,4
125,32,0.256,0,2,3,1,4
119,18,0.151260504,0,2,3,1,4
125,20,0.16,0,2,3,1,4
129,54,0.418604651,0,2,3,1,4
127,37,0.291338583,0,2,3,1,4
122,19,0.155737705,0,2,3,1,4
122,39,0.319672131,0,2,3,1,4
130,33,0.253846154,0,2,3,1,4
126,33,0.261904762,0,2,3,1,4
121,24,0.198347107,0,2,3,1,4
126,37,0.293650794,0,2,3,1,4
127,60,0.472440945,0,2,3,1,4
128,37,0.2890625,0,2,3,1,4
128,22,0.171875,0,2,3,1,4
125,38,0.304,0,2,3,1,4
118,27,0.228813559,0,2,3,1,4
129,47,0.364341085,0,2,3,1,4
126,50,0.396825397,0,2,3,1,4
131,28,0.213740458,0,2,3,1,4
128,27,0.2109375,0,2,3,1,4
129,40,0.310077519,0,2,3,1,4
125,6,0.048,0,2,3,1,4
128,7,0.0546875,0,2,3,1,4
128,23,0.1796875,0,2,3,1,4
125,5,0.04,0,2,3,1,4
124,42,0.338709677,0,2,3,1,4
130,34,0.261538462,0,2,3,1,4
124,39,0.314516129,0,2,3,1,4
121,39,0.32231405,0,2,3,1,4
123,0,0,0,2,3,1,4
129,15,0.11627907,0,2,3,1,4
128,37,0.2890625,0,2,3,1,4
131,14,0.106870229,0,2,3,1,4
122,36,0.295081967,0,2,3,1,4
123,18,0.146341463,0,2,3,1,4
124,22,0.177419355,0,2,3,1,4
128,37,0.2890625,0,2,3,1,4
128,39,0.3046875,0,2,3,1,4
123,45,0.365853659,0,2,3,1,4
131,58,0.442748092,0,2,3,1,4
124,46,0.370967742,0,2,3,1,4
130,45,0.346153846,0,2,3,1,4
126,45,0.357142857,0,2,3,1,4
125,25,0.2,0,2,3,1,4
122,22,0.180327869,0,2,3,1,4
123,25,0.203252033,0,2,3,1,4
122,45,0.368852459,0,2,3,1,4
120,14,0.116666667,0,2,3,1,4
130,44,0.338461538,0,2,3,1,4
124,33,0.266129032,0,2,3,1,4
127,20,0.157480315,0,2,3,1,4
124,39,0.314516129,0,2,3,1,4
127,53,0.417322835,0,2,3,1,4
125,29,0.232,0,2,3,1,4
124,19,0.153225806,0,2,3,1,4
125,21,0.168,0,2,3,1,4
121,6,0.049586777,0,2,3,1,4
118,22,0.186440678,0,2,3,1,4
124,16,0.129032258,0,2,3,1,4
127,17,0.133858268,0,2,3,1,4
125,27,0.216,0,2,3,1,4
124,48,0.387096774,0,2,3,1,4
123,24,0.195121951,0,2,3,1,4
124,30,0.241935484,0,2,3,1,4
128,26,0.203125,0,2,3,1,4
128,52,0.40625,0,2,3,1,4
124,26,0.209677419,0,2,3,1,4
126,27,0.214285714,0,2,3,1,4
126,41,0.325396825,0,2,3,1,4
126,45,0.357142857,0,2,3,1,4
127,41,0.322834646,0,2,3,1,4
121,27,0.223140496,0,2,3,1,4
124,37,0.298387097,0,2,3,1,4
128,23,0.1796875,0,2,3,1,4
122,31,0.254098361,0,2,3,1,4
122,16,0.131147541,0,2,3,1,4
125,36,0.288,0,2,3,1,4
130,33,0.253846154,0,2,3,1,4
124,46,0.370967742,0,2,3,1,4
126,58,0.46031746,0,2,3,1,4
125,3,0.024,0,2,3,1,4
125,43,0.344,0,2,3,1,4
128,53,0.4140625,0,2,3,1,4
122,24,0.196721311,0,2,3,1,4
132,50,0.378787879,0,2,3,1,4
120,24,0.2,0,2,3,1,4
127,28,0.220472441,0,2,3,1,4
127,48,0.377952756,0,2,3,1,4
122,61,0.5,0,2,3,1,4
129,42,0.325581395,0,2,3,1,4
126,15,0.119047619,0,2,3,1,4
122,20,0.163934426,0,2,3,1,4
126,43,0.341269841,0,2,3,1,4
124,40,0.322580645,0,2,3,1,4
129,50,0.387596899,0,2,3,1,4
124,29,0.233870968,0,2,3,1,4
128,27,0.2109375,0,2,3,1,4
123,27,0.219512195,0,2,3,1,4
124,40,0.322580645,0,2,3,1,4
126,37,0.293650794,0,2,3,1,4
122,32,0.262295082,0,2,3,1,4
