Total_Students,Casualties,Casualty_Rate,Straight ,NumberOfExits,WidthOfExits,Obstacles,WidthOfHallway
122,16,0.131147541,0,1,1,0,4
124,27,0.217741935,0,1,1,0,4
124,32,0.258064516,0,1,1,0,4
122,25,0.204918033,0,1,1,0,4
123,18,0.146341463,0,1,1,0,4
127,29,0.228346457,0,1,1,0,4
127,30,0.236220472,0,1,1,0,4
129,58,0.449612403,0,1,1,0,4
126,37,0.293650794,0,1,1,0,4
123,36,0.292682927,0,1,1,0,4
128,31,0.2421875,0,1,1,0,4
123,6,0.048780488,0,1,1,0,4
125,43,0.344,0,1,1,0,4
123,42,0.341463415,0,1,1,0,4
127,26,0.204724409,0,1,1,0,4
125,61,0.488,0,1,1,0,4
127,48,0.377952756,0,1,1,0,4
123,57,0.463414634,0,1,1,0,4
126,34,0.26984127,0,1,1,0,4
122,31,0.254098361,0,1,1,0,4
126,55,0.436507937,0,1,1,0,4
123,51,0.414634146,0,1,1,0,4
128,48,0.375,0,1,1,0,4
131,62,0.473282443,0,1,1,0,4
123,31,0.25203252,0,1,1,0,4
126,54,0.428571429,0,1,1,0,4
128,21,0.1640625,0,1,1,0,4
129,3,0.023255814,0,1,1,0,4
129,33,0.255813953,0,1,1,0,4
123,26,0.211382114,0,1,1,0,4
126,60,0.476190476,0,1,1,0,4
129,6,0.046511628,0,1,1,0,4
125,42,0.336,0,1,1,0,4
131,35,0.267175573,0,1,1,0,4
125,56,0.448,0,1,1,0,4
122,40,0.327868852,0,1,1,0,4
123,45,0.365853659,0,1,1,0,4
121,30,0.247933884,0,1,1,0,4
130,31,0.238461538,0,1,1,0,4
129,13,0.100775194,0,1,1,0,4
129,38,0.294573643,0,1,1,0,4
124,25,0.201612903,0,1,1,0,4
125,3,0.024,0,1,1,0,4
122,32,0.262295082,0,1,1,0,4
122,32,0.262295082,0,1,1,0,4
125,52,0.416,0,1,1,0,4
127,54,0.42519685,0,1,1,0,4
125,44,0.352,0,1,1,0,4
126,46,0.365079365,0,1,1,0,4
127,18,0.141732283,0,1,1,0,4
119,35,0.294117647,0,1,1,0,4
132,43,0.325757576,0,1,1,0,4
123,43,0.349593496,0,1,1,0,4
125,27,0.216,0,1,1,0,4
127,62,0.488188976,0,1,1,0,4
123,0,0,0,1,1,0,4
127,24,0.188976378,0,1,1,0,4
121,47,0.388429752,0,1,1,0,4
130,34,0.261538462,0,1,1,0,4
127,42,0.330708661,0,1,1,0,4
125,77,0.616,0,1,1,0,4
122,48,0.393442623,0,1,1,0,4
120,53,0.441666667,0,1,1,0,4
125,60,0.48,0,1,1,0,4
122,25,0.204918033,0,1,1,0,4
125,49,0.392,0,1,1,0,4
126,52,0.412698413,0,1,1,0,4
127,44,0.346456693,0,1,1,0,4
126,44,0.349206349,0,1,1,0,4
127,39,0.307086614,0,1,1,0,4
125,50,0.4,0,1,1,0,4
124,25,0.201612903,0,1,1,0,4
123,70,0.569105691,0,1,1,0,4
125,57,0.456,0,1,1,0,4
123,34,0.276422764,0,1,1,0,4
125,33,0.264,0,1,1,0,4
121,71,0.58677686,0,1,1,0,4
128,54,0.421875,0,1,1,0,4
128,78,0.609375,0,1,1,0,4
121,19,0.157024793,0,1,1,0,4
130,33,0.253846154,0,1,1,0,4
123,29,0.235772358,0,1,1,0,4
121,33,0.272727273,0,1,1,0,4
128,46,0.359375,0,1,1,0,4
124,40,0.322580645,0,1,1,0,4
125,35,0.28,0,1,1,0,4
130,47,0.361538462,0,1,1,0,4
124,41,0.330645161,0,1,1,0,4
129,15,0.11627907,0,1,1,0,4
127,40,0.31496063,0,1,1,0,4
122,13,0.106557377,0,1,1,0,4
128,22,0.171875,0,1,1,0,4
128,27,0.2109375,0,1,1,0,4
124,43,0.346774194,0,1,1,0,4
124,37,0.298387097,0,1,1,0,4
124,10,0.080645161,0,1,1,0,4
125,29,0.232,0,1,1,0,4
127,35,0.275590551,0,1,1,0,4
127,31,0.244094488,0,1,1,0,4
122,30,0.245901639,0,1,1,0,4
127,45,0.354330709,0,1,1,0,4
121,38,0.314049587,0,1,1,0,4
125,41,0.328,0,1,1,0,4
130,37,0.284615385,0,1,1,0,4
127,42,0.330708661,0,1,1,0,4
127,41,0.322834646,0,1,1,0,4
124,47,0.379032258,0,1,1,0,4
126,32,0.253968254,0,1,1,0,4
130,7,0.053846154,0,1,1,0,4
117,20,0.170940171,0,1,1,0,4
121,40,0.330578512,0,1,1,0,4
123,6,0.048780488,0,1,1,0,4
125,38,0.304,0,1,1,0,4
128,46,0.359375,0,1,1,0,4
123,21,0.170731707,0,1,1,0,4
129,45,0.348837209,0,1,1,0,4
124,56,0.451612903,0,1,1,0,4
132,47,0.356060606,0,1,1,0,4
125,42,0.336,0,1,1,0,4
131,34,0.259541985,0,1,1,0,4
124,31,0.25,0,1,1,0,4
126,42,0.333333333,0,1,1,0,4
130,7,0.053846154,0,1,1,0,4
128,33,0.2578125,0,1,1,0,4
123,38,0.308943089,0,1,1,0,4
132,62,0.46969697,0,1,1,0,4
127,60,0.472440945,0,1,1,0,4
125,42,0.336,0,1,1,0,4
125,33,0.264,0,1,1,0,4
125,21,0.168,0,1,1,0,4
131,35,0.267175573,0,1,1,0,4
130,47,0.361538462,0,1,1,0,4
123,41,0.333333333,0,1,1,0,4
121,45,0.371900826,0,1,1,0,4
128,41,0.3203125,0,1,1,0,4
131,44,0.335877863,0,1,1,0,4
126,61,0.484126984,0,1,1,0,4
121,46,0.380165289,0,1,1,0,4
120,31,0.258333333,0,1,1,0,4
123,59,0.479674797,0,1,1,0,4
126,43,0.341269841,0,1,1,0,4
128,32,0.25,0,1,1,0,4
127,59,0.464566929,0,1,1,0,4
126,49,0.388888889,0,1,1,0,4
127,55,0.433070866,0,1,1,0,4
117,25,0.213675214,0,1,1,0,4
129,45,0.348837209,0,1,1,0,4
125,41,0.328,0,1,1,0,4
128,39,0.3046875,0,1,1,0,4
122,32,0.262295082,0,1,1,0,4
129,35,0.271317829,0,1,1,0,4
129,70,0.542635659,0,1,1,0,4
121,50,0.41322314,0,1,1,0,4
122,25,0.204918033,0,1,1,0,4
123,39,0.317073171,0,1,1,0,4
126,39,0.30952381,0,1,1,0,4
122,12,0.098360656,0,1,1,0,4
127,49,0.385826772,0,1,1,0,4
126,39,0.30952381,0,1,1,0,4
127,18,0.141732283,0,1,1,0,4
125,43,0.344,0,1,1,0,4
125,30,0.24,0,1,1,0,4
123,42,0.341463415,0,1,1,0,4
124,26,0.209677419,0,1,1,0,4
126,42,0.333333333,0,1,1,0,4
123,54,0.43902439,0,1,1,0,4
124,37,0.298387097,0,1,1,0,4
123,54,0.43902439,0,1,1,0,4
131,24,0.183206107,0,1,1,0,4
123,56,0.455284553,0,1,1,0,4
128,45,0.3515625,0,1,1,0,4
124,57,0.459677419,0,1,1,0,4
126,32,0.253968254,0,1,1,0,4
127,51,0.401574803,0,1,1,0,4
128,31,0.2421875,0,1,1,0,4
126,35,0.277777778,0,1,1,0,4
126,45,0.357142857,0,1,1,0,4
124,58,0.467741935,0,1,1,0,4
126,49,0.388888889,0,1,1,0,4
120,32,0.266666667,0,1,1,0,4
127,6,0.047244094,0,1,1,0,4
126,58,0.46031746,0,1,1,0,4
124,53,0.427419355,0,1,1,0,4
121,32,0.26446281,0,1,1,0,4
129,25,0.19379845,0,1,1,0,4
130,54,0.415384615,0,1,1,0,4
124,60,0.483870968,0,1,1,0,4
130,81,0.623076923,0,1,1,0,4
124,18,0.14516129,0,1,1,0,4
128,42,0.328125,0,1,1,0,4
131,64,0.488549618,0,1,1,0,4
121,24,0.198347107,0,1,1,0,4
127,44,0.346456693,0,1,1,0,4
125,50,0.4,0,1,1,0,4
127,10,0.078740157,0,1,1,0,4
129,13,0.100775194,0,1,1,0,4
121,35,0.289256198,0,1,1,0,4
125,34,0.272,0,1,1,0,4
126,29,0.23015873,0,1,1,0,4
125,30,0.24,0,1,1,0,4
122,63,0.516393443,0,1,1,0,4
121,4,0.033057851,0,1,1,0,4
128,39,0.3046875,0,1,1,0,4
125,16,0.128,0,1,1,0,4
124,35,0.282258065,0,1,1,0,4
121,67,0.553719008,0,1,1,0,4
123,7,0.056910569,0,1,1,0,4
132,36,0.272727273,0,1,1,0,4
128,25,0.1953125,0,1,1,0,4
129,37,0.286821705,0,1,1,0,4
130,27,0.207692308,0,1,1,0,4
123,52,0.422764228,0,1,1,0,4
124,55,0.443548387,0,1,1,0,4
125,12,0.096,0,1,1,0,4
125,58,0.464,0,1,1,0,4
129,44,0.341085271,0,1,1,0,4
122,46,0.37704918,0,1,1,0,4
124,50,0.403225806,0,1,1,0,4
123,42,0.341463415,0,1,1,0,4
127,30,0.236220472,0,1,1,0,4
128,46,0.359375,0,1,1,0,4
122,26,0.213114754,0,1,1,0,4
123,59,0.479674797,0,1,1,0,4
132,45,0.340909091,0,1,1,0,4
122,37,0.303278689,0,1,1,0,4
130,37,0.284615385,0,1,1,0,4
128,24,0.1875,0,1,1,0,4
125,41,0.328,0,1,1,0,4
125,18,0.144,0,1,1,0,4
123,18,0.146341463,0,1,1,0,4
124,42,0.338709677,0,1,1,0,4
122,24,0.196721311,0,1,1,0,4
131,47,0.358778626,0,1,1,0,4
123,43,0.349593496,0,1,1,0,4
127,38,0.299212598,0,1,1,0,4
124,42,0.338709677,0,1,1,0,4
121,40,0.330578512,0,1,1,0,4
127,51,0.401574803,0,1,1,0,4
123,40,0.325203252,0,1,1,0,4
122,39,0.319672131,0,1,1,0,4
122,17,0.139344262,0,1,1,0,4
121,7,0.05785124,0,1,1,0,4
122,10,0.081967213,0,1,1,0,4
123,41,0.333333333,0,1,1,0,4
125,48,0.384,0,1,1,0,4
128,31,0.2421875,0,1,1,0,4
126,44,0.349206349,0,1,1,0,4
127,51,0.401574803,0,1,1,0,4
120,41,0.341666667,0,1,1,0,4
127,37,0.291338583,0,1,1,0,4
