Total_Students,Casualties,Casualty_Rate,Straight ,NumberOfExits,WidthOfExits,Obstacles,WidthOfHallway
129,19,0.147286822,1,4,1,1,6
124,21,0.169354839,1,4,1,1,6
124,19,0.153225806,1,4,1,1,6
124,22,0.177419355,1,4,1,1,6
124,19,0.153225806,1,4,1,1,6
125,19,0.152,1,4,1,1,6
130,15,0.115384615,1,4,1,1,6
128,12,0.09375,1,4,1,1,6
129,21,0.162790698,1,4,1,1,6
124,19,0.153225806,1,4,1,1,6
125,29,0.232,1,4,1,1,6
122,14,0.114754098,1,4,1,1,6
124,7,0.056451613,1,4,1,1,6
122,15,0.12295082,1,4,1,1,6
124,17,0.137096774,1,4,1,1,6
126,13,0.103174603,1,4,1,1,6
122,14,0.114754098,1,4,1,1,6
131,13,0.099236641,1,4,1,1,6
127,5,0.039370079,1,4,1,1,6
124,16,0.129032258,1,4,1,1,6
126,24,0.19047619,1,4,1,1,6
125,17,0.136,1,4,1,1,6
127,19,0.149606299,1,4,1,1,6
123,6,0.048780488,1,4,1,1,6
124,12,0.096774194,1,4,1,1,6
130,0,0,1,4,1,1,6
124,17,0.137096774,1,4,1,1,6
126,12,0.095238095,1,4,1,1,6
130,12,0.092307692,1,4,1,1,6
126,18,0.142857143,1,4,1,1,6
129,21,0.162790698,1,4,1,1,6
123,20,0.162601626,1,4,1,1,6
127,15,0.118110236,1,4,1,1,6
126,14,0.111111111,1,4,1,1,6
127,17,0.133858268,1,4,1,1,6
121,16,0.132231405,1,4,1,1,6
126,12,0.095238095,1,4,1,1,6
126,26,0.206349206,1,4,1,1,6
128,14,0.109375,1,4,1,1,6
127,20,0.157480315,1,4,1,1,6
120,8,0.066666667,1,4,1,1,6
121,8,0.066115702,1,4,1,1,6
125,15,0.12,1,4,1,1,6
122,13,0.106557377,1,4,1,1,6
122,13,0.106557377,1,4,1,1,6
130,12,0.092307692,1,4,1,1,6
132,19,0.143939394,1,4,1,1,6
124,21,0.169354839,1,4,1,1,6
128,20,0.15625,1,4,1,1,6
126,21,0.166666667,1,4,1,1,6
126,10,0.079365079,1,4,1,1,6
126,20,0.158730159,1,4,1,1,6
124,19,0.153225806,1,4,1,1,6
122,19,0.155737705,1,4,1,1,6
124,14,0.112903226,1,4,1,1,6
123,23,0.18699187,1,4,1,1,6
126,13,0.103174603,1,4,1,1,6
130,10,0.076923077,1,4,1,1,6
122,16,0.131147541,1,4,1,1,6
126,14,0.111111111,1,4,1,1,6
125,24,0.192,1,4,1,1,6
127,7,0.05511811,1,4,1,1,6
121,11,0.090909091,1,4,1,1,6
125,22,0.176,1,4,1,1,6
128,25,0.1953125,1,4,1,1,6
122,11,0.090163934,1,4,1,1,6
127,17,0.133858268,1,4,1,1,6
130,17,0.130769231,1,4,1,1,6
129,16,0.124031008,1,4,1,1,6
122,22,0.180327869,1,4,1,1,6
126,18,0.142857143,1,4,1,1,6
125,13,0.104,1,4,1,1,6
123,12,0.097560976,1,4,1,1,6
129,28,0.217054264,1,4,1,1,6
127,24,0.188976378,1,4,1,1,6
132,16,0.121212121,1,4,1,1,6
127,12,0.094488189,1,4,1,1,6
124,28,0.225806452,1,4,1,1,6
128,11,0.0859375,1,4,1,1,6
129,9,0.069767442,1,4,1,1,6
129,17,0.131782946,1,4,1,1,6
127,15,0.118110236,1,4,1,1,6
129,19,0.147286822,1,4,1,1,6
127,13,0.102362205,1,4,1,1,6
122,15,0.12295082,1,4,1,1,6
125,17,0.136,1,4,1,1,6
121,17,0.140495868,1,4,1,1,6
125,13,0.104,1,4,1,1,6
130,24,0.184615385,1,4,1,1,6
127,12,0.094488189,1,4,1,1,6
132,17,0.128787879,1,4,1,1,6
122,12,0.098360656,1,4,1,1,6
126,18,0.142857143,1,4,1,1,6
125,37,0.296,1,4,1,1,6
130,12,0.092307692,1,4,1,1,6
126,18,0.142857143,1,4,1,1,6
124,17,0.137096774,1,4,1,1,6
125,25,0.2,1,4,1,1,6
126,23,0.182539683,1,4,1,1,6
124,16,0.129032258,1,4,1,1,6
121,21,0.173553719,1,4,1,1,6
131,7,0.053435115,1,4,1,1,6
122,13,0.106557377,1,4,1,1,6
133,15,0.112781955,1,4,1,1,6
132,12,0.090909091,1,4,1,1,6
127,19,0.149606299,1,4,1,1,6
123,9,0.073170732,1,4,1,1,6
120,23,0.191666667,1,4,1,1,6
124,13,0.10483871,1,4,1,1,6
128,15,0.1171875,1,4,1,1,6
124,15,0.120967742,1,4,1,1,6
125,22,0.176,1,4,1,1,6
125,18,0.144,1,4,1,1,6
125,15,0.12,1,4,1,1,6
132,34,0.257575758,1,4,1,1,6
129,22,0.170542636,1,4,1,1,6
125,18,0.144,1,4,1,1,6
122,16,0.131147541,1,4,1,1,6
130,16,0.123076923,1,4,1,1,6
123,14,0.113821138,1,4,1,1,6
127,18,0.141732283,1,4,1,1,6
128,23,0.1796875,1,4,1,1,6
125,13,0.104,1,4,1,1,6
127,20,0.157480315,1,4,1,1,6
128,23,0.1796875,1,4,1,1,6
121,15,0.123966942,1,4,1,1,6
120,14,0.116666667,1,4,1,1,6
134,16,0.119402985,1,4,1,1,6
121,27,0.223140496,1,4,1,1,6
123,33,0.268292683,1,4,1,1,6
124,13,0.10483871,1,4,1,1,6
124,15,0.120967742,1,4,1,1,6
127,16,0.125984252,1,4,1,1,6
125,29,0.232,1,4,1,1,6
122,18,0.147540984,1,4,1,1,6
124,9,0.072580645,1,4,1,1,6
124,28,0.225806452,1,4,1,1,6
129,20,0.15503876,1,4,1,1,6
127,14,0.11023622,1,4,1,1,6
130,29,0.223076923,1,4,1,1,6
131,12,0.091603053,1,4,1,1,6
126,23,0.182539683,1,4,1,1,6
124,19,0.153225806,1,4,1,1,6
129,27,0.209302326,1,4,1,1,6
127,16,0.125984252,1,4,1,1,6
125,14,0.112,1,4,1,1,6
129,14,0.108527132,1,4,1,1,6
124,14,0.112903226,1,4,1,1,6
127,20,0.157480315,1,4,1,1,6
128,26,0.203125,1,4,1,1,6
129,17,0.131782946,1,4,1,1,6
132,16,0.121212121,1,4,1,1,6
127,10,0.078740157,1,4,1,1,6
130,6,0.046153846,1,4,1,1,6
123,16,0.130081301,1,4,1,1,6
125,11,0.088,1,4,1,1,6
124,12,0.096774194,1,4,1,1,6
124,13,0.10483871,1,4,1,1,6
124,14,0.112903226,1,4,1,1,6
124,9,0.072580645,1,4,1,1,6
132,18,0.136363636,1,4,1,1,6
124,28,0.225806452,1,4,1,1,6
122,11,0.090163934,1,4,1,1,6
125,7,0.056,1,4,1,1,6
124,17,0.137096774,1,4,1,1,6
128,9,0.0703125,1,4,1,1,6
127,15,0.118110236,1,4,1,1,6
124,19,0.153225806,1,4,1,1,6
124,31,0.25,1,4,1,1,6
126,20,0.158730159,1,4,1,1,6
127,17,0.133858268,1,4,1,1,6
129,5,0.03875969,1,4,1,1,6
123,11,0.089430894,1,4,1,1,6
125,16,0.128,1,4,1,1,6
125,15,0.12,1,4,1,1,6
125,14,0.112,1,4,1,1,6
129,10,0.07751938,1,4,1,1,6
128,11,0.0859375,1,4,1,1,6
126,18,0.142857143,1,4,1,1,6
123,18,0.146341463,1,4,1,1,6
129,21,0.162790698,1,4,1,1,6
122,14,0.114754098,1,4,1,1,6
132,19,0.143939394,1,4,1,1,6
119,18,0.151260504,1,4,1,1,6
121,20,0.165289256,1,4,1,1,6
128,14,0.109375,1,4,1,1,6
124,15,0.120967742,1,4,1,1,6
122,16,0.131147541,1,4,1,1,6
130,18,0.138461538,1,4,1,1,6
130,26,0.2,1,4,1,1,6
122,12,0.098360656,1,4,1,1,6
130,16,0.123076923,1,4,1,1,6
129,25,0.19379845,1,4,1,1,6
125,12,0.096,1,4,1,1,6
126,14,0.111111111,1,4,1,1,6
132,10,0.075757576,1,4,1,1,6
125,31,0.248,1,4,1,1,6
132,8,0.060606061,1,4,1,1,6
125,14,0.112,1,4,1,1,6
129,18,0.139534884,1,4,1,1,6
127,14,0.11023622,1,4,1,1,6
124,23,0.185483871,1,4,1,1,6
130,13,0.1,1,4,1,1,6
126,21,0.166666667,1,4,1,1,6
125,11,0.088,1,4,1,1,6
128,29,0.2265625,1,4,1,1,6
125,24,0.192,1,4,1,1,6
128,27,0.2109375,1,4,1,1,6
125,12,0.096,1,4,1,1,6
122,7,0.057377049,1,4,1,1,6
121,12,0.099173554,1,4,1,1,6
121,25,0.20661157,1,4,1,1,6
130,14,0.107692308,1,4,1,1,6
124,22,0.177419355,1,4,1,1,6
126,19,0.150793651,1,4,1,1,6
123,18,0.146341463,1,4,1,1,6
127,12,0.094488189,1,4,1,1,6
123,20,0.162601626,1,4,1,1,6
125,22,0.176,1,4,1,1,6
129,20,0.15503876,1,4,1,1,6
124,14,0.112903226,1,4,1,1,6
130,11,0.084615385,1,4,1,1,6
130,19,0.146153846,1,4,1,1,6
125,27,0.216,1,4,1,1,6
124,16,0.129032258,1,4,1,1,6
130,32,0.246153846,1,4,1,1,6
127,23,0.181102362,1,4,1,1,6
130,25,0.192307692,1,4,1,1,6
130,11,0.084615385,1,4,1,1,6
121,13,0.107438017,1,4,1,1,6
120,15,0.125,1,4,1,1,6
128,14,0.109375,1,4,1,1,6
123,12,0.097560976,1,4,1,1,6
123,15,0.12195122,1,4,1,1,6
121,21,0.173553719,1,4,1,1,6
123,13,0.105691057,1,4,1,1,6
124,14,0.112903226,1,4,1,1,6
127,20,0.157480315,1,4,1,1,6
131,11,0.083969466,1,4,1,1,6
123,9,0.073170732,1,4,1,1,6
128,13,0.1015625,1,4,1,1,6
129,18,0.139534884,1,4,1,1,6
127,20,0.157480315,1,4,1,1,6
124,17,0.137096774,1,4,1,1,6
124,13,0.10483871,1,4,1,1,6
123,18,0.146341463,1,4,1,1,6
118,16,0.13559322,1,4,1,1,6
125,15,0.12,1,4,1,1,6
129,19,0.147286822,1,4,1,1,6
129,10,0.07751938,1,4,1,1,6
