Total_Students,Casualties,Casualty_Rate,Straight ,NumberOfExits,WidthOfExits,Obstacles,WidthOfHallway
133,15,0.112781955,0,1,2,0,2
120,37,0.308333333,0,1,2,0,2
121,40,0.330578512,0,1,2,0,2
131,31,0.236641221,0,1,2,0,2
128,57,0.4453125,0,1,2,0,2
127,20,0.157480315,0,1,2,0,2
135,54,0.4,0,1,2,0,2
122,27,0.221311475,0,1,2,0,2
125,34,0.272,0,1,2,0,2
131,60,0.458015267,0,1,2,0,2
124,30,0.241935484,0,1,2,0,2
121,22,0.181818182,0,1,2,0,2
127,54,0.42519685,0,1,2,0,2
130,49,0.376923077,0,1,2,0,2
130,25,0.192307692,0,1,2,0,2
128,46,0.359375,0,1,2,0,2
124,12,0.096774194,0,1,2,0,2
126,36,0.285714286,0,1,2,0,2
125,50,0.4,0,1,2,0,2
125,52,0.416,0,1,2,0,2
123,8,0.06504065,0,1,2,0,2
126,46,0.365079365,0,1,2,0,2
124,52,0.419354839,0,1,2,0,2
128,35,0.2734375,0,1,2,0,2
126,42,0.333333333,0,1,2,0,2
124,30,0.241935484,0,1,2,0,2
131,72,0.549618321,0,1,2,0,2
127,51,0.401574803,0,1,2,0,2
126,37,0.293650794,0,1,2,0,2
124,62,0.5,0,1,2,0,2
128,39,0.3046875,0,1,2,0,2
128,32,0.25,0,1,2,0,2
127,34,0.267716535,0,1,2,0,2
124,44,0.35483871,0,1,2,0,2
131,30,0.229007634,0,1,2,0,2
128,27,0.2109375,0,1,2,0,2
123,33,0.268292683,0,1,2,0,2
129,2,0.015503876,0,1,2,0,2
124,28,0.225806452,0,1,2,0,2
124,7,0.056451613,0,1,2,0,2
128,36,0.28125,0,1,2,0,2
123,44,0.357723577,0,1,2,0,2
126,42,0.333333333,0,1,2,0,2
127,39,0.307086614,0,1,2,0,2
128,37,0.2890625,0,1,2,0,2
125,40,0.32,0,1,2,0,2
125,42,0.336,0,1,2,0,2
124,44,0.35483871,0,1,2,0,2
130,67,0.515384615,0,1,2,0,2
130,7,0.053846154,0,1,2,0,2
126,50,0.396825397,0,1,2,0,2
127,54,0.42519685,0,1,2,0,2
121,6,0.049586777,0,1,2,0,2
124,19,0.153225806,0,1,2,0,2
130,32,0.246153846,0,1,2,0,2
122,16,0.131147541,0,1,2,0,2
122,41,0.336065574,0,1,2,0,2
128,46,0.359375,0,1,2,0,2
123,52,0.422764228,0,1,2,0,2
122,3,0.024590164,0,1,2,0,2
129,2,0.015503876,0,1,2,0,2
124,44,0.35483871,0,1,2,0,2
129,20,0.15503876,0,1,2,0,2
122,25,0.204918033,0,1,2,0,2
128,35,0.2734375,0,1,2,0,2
126,51,0.404761905,0,1,2,0,2
123,39,0.317073171,0,1,2,0,2
127,51,0.401574803,0,1,2,0,2
126,57,0.452380952,0,1,2,0,2
127,36,0.283464567,0,1,2,0,2
124,37,0.298387097,0,1,2,0,2
125,32,0.256,0,1,2,0,2
118,21,0.177966102,0,1,2,0,2
125,31,0.248,0,1,2,0,2
126,68,0.53968254,0,1,2,0,2
121,12,0.099173554,0,1,2,0,2
127,48,0.377952756,0,1,2,0,2
127,6,0.047244094,0,1,2,0,2
122,30,0.245901639,0,1,2,0,2
117,21,0.179487179,0,1,2,0,2
126,54,0.428571429,0,1,2,0,2
128,35,0.2734375,0,1,2,0,2
127,20,0.157480315,0,1,2,0,2
128,66,0.515625,0,1,2,0,2
126,27,0.214285714,0,1,2,0,2
122,62,0.508196721,0,1,2,0,2
118,41,0.347457627,0,1,2,0,2
130,28,0.215384615,0,1,2,0,2
125,49,0.392,0,1,2,0,2
127,59,0.464566929,0,1,2,0,2
123,47,0.382113821,0,1,2,0,2
128,53,0.4140625,0,1,2,0,2
131,17,0.129770992,0,1,2,0,2
124,38,0.306451613,0,1,2,0,2
123,36,0.292682927,0,1,2,0,2
128,44,0.34375,0,1,2,0,2
128,24,0.1875,0,1,2,0,2
124,62,0.5,0,1,2,0,2
131,75,0.572519084,0,1,2,0,2
121,41,0.338842975,0,1,2,0,2
130,19,0.146153846,0,1,2,0,2
127,5,0.039370079,0,1,2,0,2
122,14,0.114754098,0,1,2,0,2
123,38,0.308943089,0,1,2,0,2
122,7,0.057377049,0,1,2,0,2
121,37,0.305785124,0,1,2,0,2
124,39,0.314516129,0,1,2,0,2
121,34,0.280991736,0,1,2,0,2
126,37,0.293650794,0,1,2,0,2
124,42,0.338709677,0,1,2,0,2
127,35,0.275590551,0,1,2,0,2
118,17,0.144067797,0,1,2,0,2
123,48,0.390243902,0,1,2,0,2
127,49,0.385826772,0,1,2,0,2
126,8,0.063492063,0,1,2,0,2
127,28,0.220472441,0,1,2,0,2
120,55,0.458333333,0,1,2,0,2
126,38,0.301587302,0,1,2,0,2
122,51,0.418032787,0,1,2,0,2
121,29,0.239669421,0,1,2,0,2
128,34,0.265625,0,1,2,0,2
133,51,0.383458647,0,1,2,0,2
125,23,0.184,0,1,2,0,2
129,34,0.263565891,0,1,2,0,2
128,51,0.3984375,0,1,2,0,2
121,40,0.330578512,0,1,2,0,2
124,44,0.35483871,0,1,2,0,2
128,47,0.3671875,0,1,2,0,2
125,49,0.392,0,1,2,0,2
126,33,0.261904762,0,1,2,0,2
127,37,0.291338583,0,1,2,0,2
127,38,0.299212598,0,1,2,0,2
126,37,0.293650794,0,1,2,0,2
126,45,0.357142857,0,1,2,0,2
128,10,0.078125,0,1,2,0,2
124,35,0.282258065,0,1,2,0,2
123,37,0.300813008,0,1,2,0,2
125,41,0.328,0,1,2,0,2
125,32,0.256,0,1,2,0,2
121,29,0.239669421,0,1,2,0,2
129,49,0.379844961,0,1,2,0,2
121,38,0.314049587,0,1,2,0,2
127,51,0.401574803,0,1,2,0,2
125,36,0.288,0,1,2,0,2
125,27,0.216,0,1,2,0,2
126,36,0.285714286,0,1,2,0,2
124,34,0.274193548,0,1,2,0,2
123,44,0.357723577,0,1,2,0,2
123,57,0.463414634,0,1,2,0,2
128,61,0.4765625,0,1,2,0,2
123,19,0.154471545,0,1,2,0,2
124,33,0.266129032,0,1,2,0,2
